EXTRACTION_RULE,FILE_NAME,HYPERNYM,IS_DEFINITION,PLAIN_TEXT_DEF,PLAIN_TEXT_TERM
definition[],1607.07734#Groups_and_SC.tex,,FALSE,"We define _H=(_)_∈^d-1(H) as follows. Given a (d-1)-multicell [K_i g]_H∈^d-1(H) and a d-multicell [α_i^l g]_H∈^d(H) containing it, define 

    _[K_i g]_H(α_i^m).[α_i^l g]_H = [α_i^l+mg]_H,    ∀ m∈ k-1.
",Ordering
definition + emph{},1409.5295#1409.5295.tex,,FALSE,"An Ore-composition of graphs G_1 and G_2 is a graph obtained by the following procedure:


  * delete an edge xy from G_1;

  * split some vertex z of G_2 into two vertices z_1 and z_2 of positive degree;

  * identify x with z_1 and identify y with z_2.

We say that G_1 is the edge-side and G_2 the split-side of the composition. Furthermore, we say that xy is the replaced edge of G_1 and that z is the split vertex of G_2.
We say that G is a k-Ore graph if it can be obtained from copies of K_k and repeated Ore-compositions.",Ore-composition;edge-side;split-side;replaced edge;split vertex;k-Ore graph
definition + emph{},1409.5116#1409.5116.tex,,FALSE,"An Ore-composition of graphs G_1 and G_2 is a graph obtained as follows:


  * delete the edge xy from G_1;

  * split some vertex z of G_2 into two vertices z_1 and z_2 of positive degree;

  * identify x with z_1 and identify y with z_2.


We say that G_1 is the edge-side and G_2 the split-side of the composition. Furthermore, we say that xy is the replaced edge of G_1 and that z is the split vertex of G_2. Finally we say that G is a k-Ore graph if it can be obtained from copies of K_k and repeated Ore-compositions.",Ore-composition;edge-side;split-side;replaced edge;split vertex;k-Ore graph
definition[],1707.03332#arxiv.tex,,FALSE,"Suppose  is hierarchical. Let H be its H-matrix. An orientation τ is a map from row vectors of H to {± 1}, such that τ(v) = -τ(-v). Given an orientation τ, let H^τ_+ = {v: τ(v) = +1}. Say that  is positive with orientation τ if for each v ∈ H^τ_+ and S ∈, _-v(S) is not a proper face of S.",Orientation
definition[],1611.01657#AntipodeLinHopfMono.tex,,FALSE,"Given a hypergraph G an orientation (𝔞,𝔟) of a hyperedge U∈ G is a choice of two nonempty subsets 𝔞,𝔟 of U such that U=𝔞∪𝔟 and 𝔞∩𝔟=∅. We can think of the orientation of a hyperegde U as current or flow on U from a single vertex of 𝔞 to the vertices in 𝔟 in which case we say that 𝔞 is the head of the orientation 𝔞→𝔟 of U. 
 If |U|=n, then there are a total of 2^n-2 possible orientations. An  orientation of G is an orientation of all its hyperedges. Given an orientation 𝒪  on G, we say that (𝔞,𝔟)∈𝒪 if it is the orientation of a hyperedge U in G.",Orientation
definition[],1712.08848#HyperAntipode_REVISED.tex,,FALSE,"Given a hypergraph G an orientation (𝔞,𝔟) of a hyperedge U∈ G is an ordered set partition (𝔞,𝔟) of U. 
We can think of the orientation (𝔞,𝔟) as current or flow on U from a single vertex 𝔞 to the vertices in 𝔟 in which case we say that 𝔞 is the head of the orientation 𝔞→𝔟 of U.
It what follows we will want to think of the vertices in 𝔞 as being contracted to a single point while the vertices in 𝔟 remain as distinct points.
If |U|=n, then there are a total of 2^n-2 possible orientations. An  orientation of G is an orientation of all its hyperedges. Given an orientation 𝒪  on G, we say that (𝔞,𝔟)∈𝒪 if (𝔞,𝔟) is the orientation of a hyperedge U in G.",Orientation
definition[],1611.03766#periodic_parallelogram_polyominoes.tex,,FALSE,"

A periodic parallelogram polyomino is a PP with an admissible marked
cell in the first column. A cell is called admissible if its height is less or
equal to the size of the last column.",PPP
definition[],1612.03759#PPP_fpsac_2017.tex,,FALSE,"A periodic parallelogram polyomino is a parallelogram polyomino P
    with a positive integer g called the gluing size , such that g is
    smaller or equal to the minimum of the heights of the first and last column
    of P. Moreover, in the rest of the article we consider PPP's which are
    not of rectangular shape with gluing size equal to the size of the columns.",PPP
definition + emph{},1808.04102#1808.04102.tex,,FALSE,"
Suppose Σ={a_1<a_2< …<a_s} is an ordered alphabet, where s≥ 2. The Parikh matrix mapping with respect to Σ, denoted by Ψ_Σ, is the morphism

    Ψ_Σ: Σ^*→ℳ_s+1

defined as follows: Ψ_Σ(λ)=I_s+1; if  Ψ_Σ(a_q)=M, then M_i,i=1 for each 1≤ i≤ s+1, M_q,q+1=1 and all other entries of the matrix Ψ_Σ(a_q) are zero. Matrices of the form  Ψ_Σ(w) for w∈Σ^* are called Parikh matrices . We denote by 𝒫_Σ the set of all Parikh matrices with respect to Σ and let 𝒫_Σ^+=𝒫_Σ{I_s+1}.",Parikh matrix mapping;Parikh matrices
definition + textit{},1702.03647#1702.03647.tex,,FALSE,"Suppose Σ={a_1<a_2<⋯ <a_k} is an ordered alphabet. The Parikh matrix mapping with respect to Σ, denoted by Ψ_Σ, is the morphism:

    Ψ_Σ:Σ^*→ℳ_k+1,

defined such that Ψ_Σ(a_q)=(m_i,j)_1≤ i,j≤ k+1, where  
m_i,i=1 for all 1≤ i≤ k+1, m_q,q+1=1, and all other entries of the matrix Ψ_Σ(a_q) are zero. Matrices of the form Ψ_Σ(w) for w∈Σ^* are termed as  Parikh matrices .",Parikh matrix mapping;Parikh matrices
definition + textit{},1506.03251#1506.03251.tex,,FALSE,"
<cit.> If the vertices v_0,v_1,…,v_k of a walk W are distinct then W is called a Path .  A path with n vertices will be denoted by P_n. P_n has length n-1. ",Path
definition[],1210.7253#JMI_2011main.tex,,FALSE,"Let G=(V,E) be a graph. 
A path in a graph is a sequence of vertices such that from each of its vertices there is an edge to the next vertex in the sequence.
This is denoted by P=(u=v_0,v_1,…,v_k=v),
where (v_i,v_i+1) ∈ E for 0 ≤ i ≤ k-1.
The length of the path is the number of edges encountered in P.",Path
definition[],1902.06307#pmw2.tex,,FALSE,"
		Let G be a graph with a perfect matching.
		A perfect matching decomposition (-decomposition) of G is a tuple T,δ, where T is a cubic tree and δT→VG a bijection.
		Let t_1t_2 be an edge in T and T_1,T_2Tt_1t_2.
		The partition of the tree into T_1 and T_2 also yields a partition of the vertices in G that are mapped to the leaves of T.
		Let
		
    X_i    ⋃_t ∈T∩T_iδt

		be the two classes of that partition.
		Note that X_1 = X_2 defines an edge cut in G, we refer to it by t_1t_2.
		The width of a perfect matching decomposition T,δ is given by T,δmax_t_1t_2 ∈Tt_1t_2 and the perfect matching width (-width) of G is then defined as 
		
    Gmin_T,δ perfect matching
    decomposition of  G  max_t_1t_2 ∈Tt_1t_2.
",Perfect Matching Width
definition[],1902.01322#bipgrid.tex,,FALSE,"
		Let G be a matching covered graph.
		A perfect matching decomposition of G is a
                tuple T,δ, where T is a cubic tree and
                δT→G is a bijection.
		The width of T,δ is given by max_e ∈Te and the perfect matching width of G is then defined as 
		
    Gmin_T,δ perfect matching
    decomposition of  G  max_e ∈Te.
",Perfect Matching Width
definition[],1602.00778#pp-conj-arxiv-rxfchenv1.tex,,FALSE,"A plane permutation on [n]={1,2,… n} is a pair 𝔭=(s,π) where s=(s_i)_i=0^n-1
is an n-cycle and π is an arbitrary permutation. The permutation D_𝔭=
s∘π^-1 is called the diagonal of 𝔭.",Plane permutation
definition[],1502.07674#z-s-per-genome-ricky-arxiv1606.tex,,FALSE,"A plane permutation on [n] is a pair 𝔭=(s,π) where s=(s_i)_i=0^n-1
is an n-cycle and π is an arbitrary permutation on [n].",Plane permutation
definition[],1503.01499#local-embedding-map-arxiv-rxf_chen.tex,,FALSE,"A plane permutation on [n] is a pair 𝔭=(s,π) where s=(s_i)_i=0^n-1
is an n-cycle and π is an arbitrary permutation on [n]. The permutation D_𝔭=
s∘π^-1 is called the diagonal of 𝔭.",Plane permutation
definition[],1510.05334#quintic.tex,,FALSE,"
If P_1, …, P_C:^n → is a sequence of polynomials, then the factor _P_1,…,P_C is called a polynomial factor.

The complexity of , denoted ||:=C, is the number of defining polynomials. The degree of  is the maximum degree among its defining polynomials P_1,…,P_C. If P_1,…,P_C are of depths k_1,…,k_C, respectively, then the number of atoms of  is at most ∏_i=1^C q^k_i+1 which we denote by .",Polynomial factors
definition[],1011.4600#complexityRevised.tex,,FALSE,"
Let p be a fixed prime. Let P_1,…,P_C ∈ Poly_d(_p^n). The sigma-algebra on _p^n whose atoms are {x ∈_p^n : P_1(x)=a(1),…,P_C(x)=a(C)} for all a ∈_p^C is called a polynomial factor of degree at most d and complexity at most C .",Polynomial factors
definition[],1403.7703#equidist-24-03-2014.tex,,FALSE,"
If P_1, …, P_C:^n → is a sequence of polynomials, then the factor _P_1,…,P_C is called a polynomial factor.",Polynomial factors
definition[],1603.07815#taoziegler2016.tex,,FALSE,"  Let P G → K be a function from one additive group G = (G,+) to another K = (K,+).  For any subgroup H of G and for any integer d, we say that P is a polynomial of degree <d along H according to the following recursive definition[Our conventions here are somewhat nonstandard, but are chosen so that the proofs of our main theorems, such as Theorem <ref>, resemble the proofs of warmup results such as Proposition <ref>.]:


  (i)  If d ≤ 0, we say that P is of degree <d along H if and only if it is identically zero.

  (ii)  If d ≥ 1, we say that P is of degree <d along H if and only if, for each h ∈ H, there exists a polynomial P_h: G → K of degree <d-1 along H such that 

    P(x+h) = P(x) + P_h(x)

for all x ∈ G.
",Polynomials
definition[],1101.1469#1101.1469.tex,,FALSE,"  Let V be a finite-dimensional vector space, let d ≥ 0 be an integer, and let G be an additive group.  A function P: V → G from V to G is said to be a (non-classical) polynomial of degree ≤ d if one has

    _h_1…_h_d+1 f(n) = 0

for all h_1,…,h_d+1,n ∈ V, where _h f(n) := (T_h - 1) f(n) = f(n+h)-f(n) is the additive derivative of f in the direction h.  We adopt the convention that the zero polynomial 0 has degree -∞.  We denote the space of all polynomials of degree ≤ d as _≤ d(V → G); this is clearly an additive group, with _≤ d(V → G) = {0} for d<0.",Polynomials
definition[],1305.5233#1305.5233.tex,,FALSE,"Let (P, ) be a poset (partially ordered set). A linear extension L of P is a total order which satisfies (x  y ∈ P)  (x  y ∈ L). A realiser of P is a set of linear extensions of P, say ℛ, which satisfy the following condition: for any two distinct elements x and y, x y ∈ P if and only if x  y ∈ L, ∀ L ∈ℛ.  The poset dimension of P, denoted by (P), is the minimum positive integer k such that there exists a realiser of P of cardinality k.",Poset dimension
definition[],1404.4484#sd-icgt.tex,,FALSE,"
Let (𝒫, ) be a poset (partially ordered set). A linear extension L of 𝒫 is a total order which satisfies (x  y ∈𝒫)  (x  y ∈ L). A realiser of 𝒫 is a set of linear extensions of 𝒫, say ℛ, which satisfy the following condition: for any two distinct elements x and y, x y ∈𝒫 if and only if x  y ∈ L, ∀ L ∈ℛ.  
The poset dimension of 𝒫, denoted by dim(𝒫), is the minimum integer k such that there exists a realiser of 𝒫 of cardinality k. ",Poset dimension
definition[],1212.6756#boxlicity.tex,,FALSE,"Let (𝒫, ) be a poset (partially ordered set). A linear extension L of 𝒫 is a total order which satisfies (x  y ∈𝒫)  (x  y ∈ L). A realiser of 𝒫 is a set of linear extensions of 𝒫, say ℛ, which satisfy the following condition: for any two distinct elements x and y, x y ∈𝒫 if and only if x  y ∈ L, ∀ L ∈ℛ.  
The poset dimension of 𝒫, denoted by dim(𝒫), is the minimum integer k such that there exists a realiser of 𝒫 of cardinality k. ",Poset dimension
definition[],1706.09969#ArXiv-Crystal.tex,,FALSE,"
											We define E'(w) to be the unique word such that
											
    std(E'(w)) = std(w)  and wt(E'(w)) = wt(w) + α,

											if such a word exists; otherwise, E'(w) = ∅. We define F'(w) analogously using -α.",Primed operators
definition[],1711.06919#main.tex,,FALSE,"
We define E'(w) to be the unique word such that

    std(E'(w)) = std(w)  and wt(E'(w)) = wt(w) + α,

if such a word exists; otherwise, E'(w) = ∅. We define F'(w) analogously using -α.",Primed operators
definition + emph{},0804.1285#inclusion_maximal.tex,,FALSE,"A triple (a,b,c) is called Pythagorean triple over 𝔽_q if a^2+b^2=c^2.",Pythagorean triple over 𝔽
definition + emph{},1401.4348#1401.4348.tex,,FALSE,"A triple (α,β,γ) is called Pythagorean triple over 𝔽_q if α^2+β^2=γ^2.",Pythagorean triple over 𝔽
definition[],1812.01910#fpoly.tex,,FALSE,"A quiver Q is a directed graph, along with a Laurent polynomial label at every vertex. The variable v denotes the number of vertices in Q, or |Q|. The directed graph must have no 2-cycles.",Quiver
definition[],1712.00447#ClusterFeb18-2019.tex,,FALSE,"
A quiver Q is a directed graph; we will assume that Q has no 
loops or 2-cycles.
If there are i arrows from vertex λ to μ, then 
we will set b_λμ = i and b_μλ = -i.
Each vertex is designated either  mutable or frozen .
The skew-symmetric matrix B = (b_λμ) is called the exchange matrix of Q.",Quiver
definition[],1611.05320#main.tex,,FALSE,"Mutating at a vertex i in Q is denoted by μ_i and corresponds to the following actions on the quiver:


  * For every 2-path through i (e.g. j→ i→ k), add an edge from j to k.

  * Reverse the directions of the arrows incident to i.

  * Delete any 2-cycles created from the previous two steps.

Correspondingly, the cluster variable at vertex i is updated and all other cluster variables stay the same. The update follows this binomial exchange relation:

    x_i'x_i=∏_i→ j in Qx_j^a_i→ j+∏_j→ i in Qx_j^a_j→ i,

where x_i' is the new cluster variable at vertex i and a_i→ j is the number of edges from i to j.",Quiver Mutation
definition[],1712.00447#ClusterFeb18-2019.tex,,FALSE,"Let λ be a mutable vertex of quiver Q.  The quiver mutation 
_λ transforms Q into a new quiver Q' = _λ(Q) via a sequence of three steps:


  * For each oriented two path μ→λ→ν, add a new arrow μ→ν
(unless μ and ν are both frozen, in which case do nothing).

  * Reverse the direction of all arrows incident to the vertex λ.

  * Repeatedly remove oriented 2-cycles until unable to do so.

	If B is the exchange matrix of Q, then we let _λ(B) denote the 
	exchange matrix of _λ(Q).",Quiver Mutation
definition[],1812.01910#fpoly.tex,,FALSE,"An quiver mutation at vertex i is defined by changing both the quiver around vertex i and the Laurent polynomial at vertex i. The quiver changes are defined as follows.


  * For every path j → i → k, draw a new edge from j to k.

  * For every path j → i → k, draw a new edge from j to k. Reverse the direction of every edge pointing with i as a vertex.

  * Delete all 2-cycles.

The Laurent polynomial is replaced as follows. Let V_k denote the Laurent polynomial currently on vertex k. Replace V_i with the following polynomial P. 
    P=∏_j ∈ S_1V_j + ∏_j ∈ S_2V_j/V_i
 where S_1 is the multiset of edges pointing into i attached to i and S_2 is the multiset of edges pointing out of i.",Quiver Mutation
definition[],1208.4714#orchard-new.tex,,FALSE,"Suppose that X ⊂∪{∞} is a set. Then we write 𝒬(X) for the set of all quotients x_1/x_2 with x_1, x_2 ∈ X and x_1, x_2 ∉{0,∞}.",Quotient set
definition[],1409.3555#partitions_of_walks_on_digraphs.tex,,FALSE,"The set of all equivalence classes for a given dressing signature  is the quotient set of W_;αω by , denoted by W_;αω  /:

    W_;αω  /  = {[w]_ : w ∈ W_;αω}
",Quotient set
definition + emph{},1611.06312#hales-jewett-gowers44.tex,,FALSE,"Suppose that α is an action of T
on an filtered semigroup ( S,+,𝔉) given by a
semigroup ℱ_α⊂End( S,+,𝔉
). We say that α is Ramsey if, for any τ∈ℱ_α, the corresponding spine f_τ:T→ T
is a regressive homomorphis, and for any C∈𝔉, for any finite
coloring c of S, and for any finite subset ℱ_0 of ℱ_α, there exists a function x:T→ S such
that, for any τ∈ℱ_0 and t∈ T, x( t) ∈
S_t∩ C and the color of τ( x( t) )
depends only on f_τ( t).",Ramsey
definition + emph{},1511.06048#1511.06048.tex,,FALSE,"Suppose (A, ℱ) is an algebra.
We say that (A, ℱ) is Ramsey iff
for every a⃗∈^ωA and X ⊆ A, there exists b⃗≤_ℱa⃗ such that _ℱ(b⃗) is
either contained in or disjoint from X.",Ramsey
definition + emph{},1511.06048#1511.06048.tex,,FALSE,"Suppose (A,ℱ) is an algebra and a⃗∈^ωA. We say that (A, ℱ) is Ramsey below a⃗ iff
for every b⃗≤_ℱa⃗ and  X ⊆ A, there exists c⃗≤_ℱb⃗ such that
_ℱ(c⃗) is either contained in or disjoint from X.",Ramsey below a⃗
definition + emph{},1403.5831#1403.5831.tex,,FALSE,"Suppose (A,ℱ) is an algebra and a⃗ is an infinite sequence in A. We say that (A, ℱ) is Ramsey below a⃗ iff
for every b⃗≤_ℱa⃗ and  X ⊆ A, there exists c⃗≤_ℱb⃗ homogeneous for X.",Ramsey below a⃗
definition + emph{},1208.2991#emtp_arxiv14.tex,,FALSE," Let  be a class of finite L'-structures, for some language L'.  is a Ramsey class if for any A, B ∈  and positive integer k, there is a C in  such that C → (B)^A_k.",Ramsey class
definition + emph{},1710.04690#conantmetric-arxiv5.tex,,FALSE,A class 𝒞 is a Ramsey class if for every two objects A and B in 𝒞 and for every positive integer k there exists a structure C in 𝒞 such that the following holds: For every partition CA into k classes there exists an B∈CB such that BA belongs to one class of the partition.,Ramsey class
definition + emph{},1511.06048#1511.06048.tex,,FALSE,"Suppose ℜ= (R, ≤) is a preorder with approximations. Assume X is a subset of R. We say that X is Ramsey iff for every n
∈ω and a⃗∈ R, there exists b⃗∈ [n,a⃗] such that [n,b⃗] is either contained in or disjoint from X. Assuming
the Axiom of Choice, ℜ is a Ramsey space iff  every subset of ℜ (endowed with the natural topology) having the
property of Baire is Ramsey.",Ramsey;Ramsey space
definition + emph{},1403.5831#1403.5831.tex,,FALSE,"Suppose ℜ= (R, ≤) is a preorder with approximations. Assume X is a subset of R. We say that X is Ramsey iff for every n ∈ω and a⃗∈ R, there exists b⃗∈ [n,a⃗]_ℜ such that [n,b⃗]_ℜ is either contained in or disjoint from X. Assuming the Axiom of Choice, ℜ is a Ramsey space iff every subset of ℜ (endowed with the natural topology) which has the property of Baire is Ramsey.",Ramsey;Ramsey space
definition[],1603.07815#taoziegler2016.tex,,FALSE," Given a function P: G → K between additive groups G,K, as well as subgroups H_1,…,H_d of G for some non-negative integer d, we say that P has rank <(H_1,…,H_d) or rank <(H_i)_1 ≤ i ≤ d according to the following recursive definition:


  (i)  If d = 0, we say that P is of rank <() if and only if it is identically zero.

  (ii)  If d ≥ 1, we say that P is of rank <(H_1,…,H_d) if and only if, for every 1 ≤ i ≤ d and h ∈ H_i, there exists a polynomial P_h G → K of rank <(H_1,…,H_i-1,H_i+1,…,H_d) such that P(x+h) = P(x) + P_h(x) for all x ∈ G.
",Rank
definition[],1011.4600#complexityRevised.tex,,FALSE,"We say a set of polynomials ={P_1,…,P_t} is of rank greater than r, and denote this by () > r if the following holds. For any non-zero α=(α_1,…,α_t) ∈_p^t, define P_α(x) := ∑_j=1^t α_j P_j(x). For d := max{(P_j):α_j  0}, the polynomial P_α cannot be expressed as a function of r polynomials of degree at most d-1. More precisely, it is not possible to find r polynomials Q_1,…,Q_r of degree at most d-1, and a function Γ:_p^r →_p such that

    P_α(x)=Γ(Q_1(x),…,Q_r(x)).

The rank of a single polynomial P is defined to be ({P}).",Rank
definition[],1712.09047#1712.09047.tex,,FALSE,"

 
  * Let P:V → k be a polynomial of degree d. We define the rank r^d(P) as the minimal number r such that P can be written as a sum P=∑ _j=1^rQ_jR_j where Q_j,R_j are polynomials of degees <d defined over k. Often we write r(P) instead of r^d(P).

  * Let P̅={ P_i}, 1≤ i≤ c be a  family of polynomials of degree d. We define r(P̅) as the minimal d-rank of non-trivial linear combinations of P_i.

  * Given any family P̅={ P_i},1≤ i≤ c, (P_i)≥ 2 we write it as a disjoint union P̅ =⋃ _j=2^d P̅ ^j where P̅ ^j is a family of polynomials of degree j. We define r(P̅):=min _jr^j(P̅ ^j). 
",Rank
definition[],1712.01335#1712.01335.tex,,FALSE," a) Let P∈ k[V^∨ ]  be a non-zero  polynomial  of degree d≥ 2. We 
define the rank r(P) of P as  the minimal number r such that it is possible to write P in the form
P = ∑ ^ r_i=1 l_iR_i, where l_i,R_i are  polynomials of positive degrees. 

b) Given a family P̅={P_i},i∈ I of  polynomials of degree ≤ d 
we define the rank of P̅ as the minimal rank of a non-zero linear combination of polynomials P_i,i∈ I.",Rank
definition[],0711.3191#0711.3191.tex,,FALSE,"  Let d ≥ 0, and let P: ^n → be a function.  We define the degree d rank _d(P) of P to be the least integer k ≥ 0 for which there exist polynomials Q_1,…,Q_k ∈𝒫_d(^n) and a function B: ^k → such that we have the representation P = B(Q_1,…,Q_k).  If no such k exists, we declare _d(P) to be infinite (since ^n is finite-dimensional, this only occurs when d=0 and P is non-constant).",Rank
definition[],1510.05334#quintic.tex,,FALSE,"
Given a polynomial P : ^n → and an integer d ≥ 1, the d-rank of
P, denoted rank_d(P), is defined to be the smallest integer
r such that there exist polynomials Q_1,…,Q_r:^n → of
degree ≤ d-1 and a function Γ: ^r → satisfying
P(x) = Γ(Q_1(x),…, Q_r(x)). If d=1, then
1-rank is defined to be ∞ if P is non-constant and 0
otherwise.

The rank of a polynomial P: ^n → is its (P)-rank. We say that P is r-regular if rank(P) ≥ r.",Rank of a polynomial
definition[],1403.7703#equidist-24-03-2014.tex,,FALSE,"
Given a polynomial P : ^n → and an integer d > 1, the d-rank of
P, denoted rank_d(P), is defined to be the smallest integer
r such that there exist polynomials Q_1,…,Q_r:^n → of
degree ≤ d-1 and a function Γ: ^r → satisfying
P(x) = Γ(Q_1(x),…, Q_r(x)). If d=1, then
1-rank is defined to be ∞ if P is non-constant and 0
otherwise.

The rank of a polynomial P: ^n → is its (P)-rank. We say P is r-regular if rank(P) ≥ r.",Rank of a polynomial
definition[],1308.4108#linearlimits5.tex,,FALSE,"Given a polynomial P : ^n → and an integer d > 1, the d-rank of
P, denoted rank_d(P), is defined to be the smallest integer
r such that there exist polynomials Q_1,…,Q_r:^n → of
degree ≤ d-1 and a function Γ: ^r → satisfying
P(x) = Γ(Q_1(x),…, Q_r(x)). If d=1, then
1-rank is defined to be ∞ if P is non-constant and 0
otherwise.

The rank of a polynomial P: ^n → is its (P)-rank.",Rank of a polynomial
definition[],0707.2522#0707.2522.tex,,FALSE,"Apply Lemma <ref> to the graph G=(V,E) with parameters ε and d, 
and denote the clusters of the resulting partition by V_0, V_1,…,V_ℓ, V_0 being
the exceptional cluster. We construct a new graph G_r, the reduced graph of G' in
the following way: The non-exceptional clusters of G'
are the vertices of the reduced graph (hence |V(G_r)|=ℓ). We connect two vertices of
G_r by an edge if the corresponding two clusters form an ε-regular
pair with density at least d.",Reduced graph
definition[],1512.02161#1512.02161.tex,,FALSE,"The reduced graph G_R=G_R(X,Y') of G(X,Y)  has color classes X and Y'={y'_1,… ,y'_d_k} and x_i is adjacent to the vertices y'_1,… ,y'_d_i, i=1,… ,k. 

We say that G is reduced if G=G_R.",Reduced graph
definition[],1904.11778#1904.11778.tex,,FALSE,"Apply <ref> to the graph G=(W,E) with parameters ε and d, 
and denote the clusters of the resulting partition by W_0, W_1,…, W_ℓ (W_0 being the exceptional cluster). We construct a new graph G_r, the reduced graph of G' in
the following way: The non-exceptional clusters of G'
are the vertices of the reduced graph G_r (hence v(G_r)=ℓ). We connect two vertices of
G_r by an edge if the corresponding two clusters form an ε-regular
pair with density at least d.",Reduced graph
definition[],1707.07216#1707.07216.tex,,FALSE,"Apply Lemma <ref> to the graph G=(V,E) with parameters ε and d 
and denote the clusters of the resulting partition by V_0,V_1,…,V_ℓ, V_0 being the exceptional cluster. We construct 
a new graph G_r, the reduced graph of G' in the following way: 
The non-exceptional clusters of G' are the vertices of the reduced graph, hence |V(G_r)|=ℓ. We connect two vertices 
of G_r by an edge if the corresponding two clusters form an ε-regular pair with density at least d.",Reduced graph
definition[],1908.04137#giove-paga-article.tex,,FALSE,"Let M = (E, , m) be a quasi-arithmetic matroid.
  Its reduction is the quasi-arithmetic matroid M = (E, , m) on the same groundset, with the same rank function, and with multiplicity function m is given by
  
    m(X) =  m(B) |B is a basis, and (X) = |X ∩ B| / m(B) |B is a basis.
",Reduction
definition[],1411.4561#FCInvolutions_revised.tex,,FALSE,"
Let w be a FC element of type A_n-1, and s_i∈ Des_R(w). Then w can be reduced to ws_i if at least one of
s_i-1,s_i+1 belongs to Des_R(ws_i). We will write
wR→ ws_i.",Reduction
definition[],1510.05334#quintic.tex,,FALSE,"
A collection ' of polynomials is called a refinement of ={P_1,...,P_m}, and
denoted ' ≽, if the
induced partition by ' is a combinatorial refinement of the partition
induced by . In other words, if for every x,y∈^n,
'(x)='(y) implies (x)=(y).",Refinement
definition[],1403.7703#equidist-24-03-2014.tex,,FALSE,"
A factor ' is called a refinement of , and
denoted ' ≽, if the
induced partition by ' is a combinatorial refinement of the partition
induced by . In other words, if for every x,y∈^n,
'(x)='(y) implies (x)=(y). We will write ≽_syn', if the polynomials defining ' extend that of .[One sometimes needs to distinguish between semantic and syntactic refinements, where the former is as <Ref> and the latter means that the polynomials defining ' extends that of . Being a syntactic refinement is stronger than being a
semantic refinement. But observe that if ' is a semantic
refinement of , then there exists a
syntactic refinement ” of  that induces the same
partition of ^n, and for which |”|≤
|'|+||, because we can define ” by
simply adding the defining polynomials of  to those of '.]",Refinement
definition[],1806.00072#graphs.tex,,FALSE,A graph is d-regular if every vertex has the same degree d.,Regular graph
definition[],1210.7253#JMI_2011main.tex,,FALSE,"A graph G=(V,E) is called r-regular, if d_i=r  ( i=1,…,|V|).",Regular graph
definition[],1701.08115#C3sTiling-170127.tex,,FALSE,"Given , _k > 0, r, t_0, t_1 ∈ℕ, a k-graph G and a (k-1)-complex  on V(G), we call  a (t_0, t_1, , _k, r)-regular slice for G if  is (t_0, t_1, )-equitable and G is (_k, r)-regular with respect to all but at most _k tk of the k-sets of clusters of , where t is the number of clusters of .",Regular slice
definition[],1411.4957#HyperErdosGallai_arXiv.tex,,FALSE,"Given ,_k>0,
r,t_0,t_1∈, a k-graph G and a (k-1)-complex  on V(G), we
call  a (t_0,t_1,,_k,r)-regular slice for G if
 is (t_0,t_1,)-equitable and G is (_k,r)-regular with respect to all but at most
_ktk of the k-sets of clusters of , where t is the number of clusters of .",Regular slice
definition[],1904.11778#1904.11778.tex,,FALSE,"Let ε >0. A pair
  (A,B)      of     disjoint      vertex-sets     in      G     is
    if  for every  X  ⊂  A and  Y
  ⊂ B, satisfying

    |X|>ε |A|, |Y|>ε |B|

we have

    |d(X,Y)-d(A,B)|<ε.
",Regularity condition
definition[],0707.2522#0707.2522.tex,,FALSE,"Let ε >0. A pair
  (A,B)      of     disjoint      vertex sets     in      G     is
    if  for every  X  ⊂  A and  Y
  ⊂ B, satisfying

    |X|>ε |A|, |Y|>ε |B|

we have

    |d(X,Y)-d(A,B)|<ε.
",Regularity condition
definition[],1707.07216#1707.07216.tex,,FALSE,"Let ε>0. A pair (A,B) of disjoint vertex sets of G is ε-regular 
if for every X⊂ A and Y⊂ B satisfying

    |X|>ε |A|,   |Y|>ε |B|

we have

    |d(X,Y)-d(A,B)|<ε.
",Regularity condition
definition[],1403.6710#matchingInformation.tex,,FALSE,"Let X, Y be discrete random
  variables on the same domain.
  Relative entropy of X and Y is
  
    XY =
      ∑_x ∈(X) X = x·log X = x/ Y = x.

  Here 0 log (0/q) = 0 and p log (p/0) = + ∞
  for p > 0 by convention.",Relative entropy
definition[],1607.08152#masterdraftJuly14Andrew.tex,,FALSE,"Let 𝒫 be a property of k-colourings of complete graphs that is monotone with respect to colour i. Let t be a template for a k-colouring of K_n which contains the i-monotone template E_n(i). We define the extremal entropy of 𝒫 relative to t to be:

    (t,𝒫):=max{(t')   :   v(t')=n, t'≤ t,  ⟨ t' ⟩⊆𝒫_n}.
",Relative entropy
definition[],1801.05195#containerpaperarxivupdate.tex,,FALSE,"Let 𝒫 be a property of k-colourings of complete graphs 

and let t ∈ (2^[k]∖{∅} )^K_n with ⟨ t⟩∩𝒫_n ≠∅.

We define the extremal entropy of 𝒫 relative to t to be:

    (t,𝒫):=max{(t')   :   v(t')=n, t'≤ t,  ⟨ t' ⟩⊆𝒫_n}.
",Relative entropy
