CATEGORIES,DD_PAGE_TITLE,DEFINITION,DEF_PAGE_TITLE,HYPERNYM,IS_DEFINITION,PLAIN_TEXT_DEFINITION,TERM
"['Definitions/Set Theory', 'Definitions/Relative Complement']",Definition:Complement,"Let $S$ be a set, and let $T subseteq S$, that is: let $T$ be a subset of $S$.

Then the set difference $S setminus T$ can be written $complement_{S} left(   right)T$, and is called the relative complement of $T$ in $S$, or the complement of $T$ relative to $S$.

Thus:
:$complement_{S} left(   right)T = leftlbrace x in S : x notin T rightrbrace$",Definition:Relative Complement,,FALSE,"Let S be a set, and let T ⊆ S, that is: let T be a subset of S.

Then the set difference S ∖ T can be written ∁_S(   )T, and is called the relative complement of T in S, or the complement of T relative to S.

Thus:
:∁_S(   )T = { x ∈ S : x ∉ T }",Complement
['Definitions/Propositional Logic'],Definition:Complement,"For any propositional formula $mathbf A$, the set $left{{mathbf A, neg mathbf A}right}$ is called a complementary pair of formulas.
",Definition:Logical Complement,,FALSE,"For any propositional formula 𝐀, the set {𝐀, 𝐀} is called a complementary pair of formulas.
",Complement
['Definitions/Lattice Theory'],Definition:Complement,"Let $left( S, vee, wedge, preceq right)$ be a bounded lattice.

Suppose that every $a in S$ admits a complement.


Then $left( S, vee, wedge, preceq right)$ is called a complemented lattice.
",Definition:Complement (Lattice Theory),,FALSE,"Let ( S, ∨, ∧, ≼) be a bounded lattice.

Suppose that every a ∈ S admits a complement.


Then ( S, ∨, ∧, ≼) is called a complemented lattice.
",Complement
"['Definitions/Dedekind Completeness Property', 'Definitions/Order Theory']",Definition:Complete,"Let $left( S, preceq right)$ be an ordered set.

Then $left( S, preceq right)$ has the Dedekind completeness property  every non-empty subset of $S$ that is bounded above admits a supremum (in $S$).
",Definition:Dedekind Completeness Property,,FALSE,"Let ( S, ≼) be an ordered set.

Then ( S, ≼) has the Dedekind completeness property  every non-empty subset of S that is bounded above admits a supremum (in S).
",Complete
"['Definitions/Set Theory', 'Definitions/Order Theory']",Definition:Complete,An inductive ordered set is an ordered set in which every chain has an upper bound.,Definition:Inductive Ordered Set,,FALSE,An inductive ordered set is an ordered set in which every chain has an upper bound.,Complete
['Definitions/Truth Functions'],Definition:Complete,"Let $S$ be a set of truth functions.


Then $S$ is functionally complete  all possible truth functions are definable from $S$.",Definition:Functionally Complete,,FALSE,"Let S be a set of truth functions.


Then S is functionally complete  all possible truth functions are definable from S.",Complete
"['Definitions/Complete Proof Systems', 'Definitions/Proof Systems']",Definition:Complete,"Let $mathcal L$ be a logical language.

Let $mathscr P$ be a proof system for $mathcal L$, and let $mathscr M$ be a formal semantics for $mathcal L$.


$mathscr P$ is strongly complete for $mathscr M$ :

:Every $mathscr M$-semantic consequence is a $mathscr P$-provable consequence.

Symbolically, this can be expressed as the statement that, for every collection $mathcal F$ of logical formulas, and every logical formula $phi$ of $mathcal L$:

:$mathcal F models_{mathscr M} phi$ implies $mathcal F vdash_{mathscr P} phi$
",Definition:Complete Proof System,,FALSE,"Let ℒ be a logical language.

Let 𝒫 be a proof system for ℒ, and let ℳ be a formal semantics for ℒ.


𝒫 is strongly complete for ℳ :

:Every ℳ-semantic consequence is a 𝒫-provable consequence.

Symbolically, this can be expressed as the statement that, for every collection ℱ of logical formulas, and every logical formula ϕ of ℒ:

:ℱ_ℳϕ implies ℱ⊢_𝒫ϕ
",Complete
"['Definitions/Model Theory', 'Definitions/Formal Semantics']",Definition:Complete,"Let $mathcal L$ be a language.

Let $mathscr M$ be a formal semantics for $mathcal L$.

Let $T$ be an $mathcal L$-theory.


$T$ is complete (with respect to $mathcal L$ and $mathscr M$) :
:$T$ is satisfiable for $mathscr M$
:for every $mathcal L$-sentence $phi$, either $T models_{mathscr M} phi$ or $T models_{mathscr M} neg phi$
where $T models_{mathscr M} phi$ denotes semantic entailment.",Definition:Complete Theory,,FALSE,"Let ℒ be a language.

Let ℳ be a formal semantics for ℒ.

Let T be an ℒ-theory.


T is complete (with respect to ℒ and ℳ) :
:T is satisfiable for ℳ
:for every ℒ-sentence ϕ, either T _ℳϕ or T _ℳϕ
where T _ℳϕ denotes semantic entailment.",Complete
['Definitions/Complete Graphs'],Definition:Complete,"Let $G = left( V, E right)$ be a simple graph such that every vertex is adjacent to every other vertex.

Then $G$ is called complete.


The complete graph of order $p$ is denoted $K_p$.
Let $G = left( V, E right)$ be a simple graph such that every vertex is adjacent to every other vertex.

Then $G$ is called complete.


The complete graph of order $p$ is denoted $K_p$.
",Definition:Complete Graph,,FALSE,"Let G = ( V, E ) be a simple graph such that every vertex is adjacent to every other vertex.

Then G is called complete.


The complete graph of order p is denoted K_p.
Let G = ( V, E ) be a simple graph such that every vertex is adjacent to every other vertex.

Then G is called complete.


The complete graph of order p is denoted K_p.
",Complete
"['Definitions/Complete Bipartite Graphs', 'Definitions/Bipartite Graphs', 'Definitions/Graph Theory']",Definition:Complete,"A complete bipartite graph is a bipartite graph $G = left( A mid B, E right)$ in which every vertex in $A$ is adjacent to every vertex in $B$.

The complete bipartite graph where $A$ has $m$ vertices and $B$ has $n$ vertices is denoted $K_{m, n}$.",Definition:Complete Bipartite Graph,,FALSE,"A complete bipartite graph is a bipartite graph G = ( A | B, E ) in which every vertex in A is adjacent to every vertex in B.

The complete bipartite graph where A has m vertices and B has n vertices is denoted K_m, n.",Complete
['Definitions/Order Theory'],Definition:Completion,"Let $left( S, preceq_S right)$ be an ordered set.


An ordered set $left( T, preceq_T right)$ is an order completion of $S$ :

:$(1):quad S subseteq T$

:$(2):quad {preceq_T restriction_S} = {preceq_S}$, where $restriction$ denotes restriction

:$(3):quad left( T, preceq_T right)$ is a complete ordered set

:$(4):quad$ For all ordered sets $left( T', preceq_{T'}  right)$ satisfying $(1), (2)$ and $(3)$, there is a unique increasing injection $phi: T' to T$",Definition:Order Completion,,FALSE,"Let ( S, ≼_S ) be an ordered set.


An ordered set ( T, ≼_T ) is an order completion of S :

:(1):   S ⊆ T

:(2):  ≼_T _S = ≼_S, where  denotes restriction

:(3):  ( T, ≼_T ) is a complete ordered set

:(4): For all ordered sets ( T', ≼_T') satisfying (1), (2) and (3), there is a unique increasing injection ϕ: T' → T",Completion
['Definitions/Measure Theory'],Definition:Completion,"Let $left( X, unicode{x3a3}, mu right), left( tilde X, unicode{x3a3}^*, bar mu right)$ be measure spaces.

Then:
:$left( tilde X, unicode{x3a3}^*, bar mu right)$ is a completion of $left( X, unicode{x3a3}, mu right)$
or:
:$left( tilde X, unicode{x3a3}^*, bar mu right)$ completes $left( X, unicode{x3a3}, mu right)$

 the following conditions hold:

:$(1): quad left( tilde X, unicode{x3a3}^*, bar mu right)$ is a complete measure space
:$(2): quad tilde X = X$
:$(3): quad unicode{x3a3}$ is a sub-$sigma$-algebra of $unicode{x3a3}^*$
:$(4): quad forall E in unicode{x3a3}: bar mu left(   right)E = mu left(   right)E$, that is: $bar mu restriction_unicode{x3a3} = mu$",Definition:Completion (Measure Space),,FALSE,"Let ( X, x3a3, μ), ( X̃, x3a3^*, μ̅) be measure spaces.

Then:
:( X̃, x3a3^*, μ̅) is a completion of ( X, x3a3, μ)
or:
:( X̃, x3a3^*, μ̅) completes ( X, x3a3, μ)

 the following conditions hold:

:(1):   ( X̃, x3a3^*, μ̅) is a complete measure space
:(2):   X̃ = X
:(3):   x3a3 is a sub-σ-algebra of x3a3^*
:(4):   ∀ E ∈x3a3: μ̅(   )E = μ(   )E, that is: μ̅_x3a3 = μ",Completion
['Definitions/Complete Metric Spaces'],Definition:Completion,"Let $M_1 = left( A, d right)$ and $M_2 = left( tilde A, tilde d right)$ be metric spaces.

Then $M_2$ is a completion of $M_1$, or $M_2$ completes $M_1$, :
:$(1): quad M_2$ is a complete metric space
:$(2): quad A subseteq tilde A$
:$(3): quad A$ is dense in $M_2$
:$(4): quad forall x, y in A : tilde d left(   right){x, y} = d left(   right){x, y}$. In terms of restriction of functions, this says that $tilde d {restriction_A}  left(   right)= d$.


It is immediate from this definition that a completion of a metric space $M_1$ consists of:
:A complete metric space $M_2$
:An isometry $phi : A to tilde A$
such that $phi left(   right)A = leftlbrace phi left(   right)x: x in A rightrbrace$ is dense in $M_2$.

An isometry is often required to be bijective, so here one should consider $phi$ as a mapping from $A$ to the image of $phi$.

Therefore to insist that $phi$ be an isometry, in this context, is to say that $phi$ must be an injection that preserves the metric of $M_1$.",Definition:Completion (Metric Space),,FALSE,"Let M_1 = ( A, d ) and M_2 = ( Ã, d̃) be metric spaces.

Then M_2 is a completion of M_1, or M_2 completes M_1, :
:(1):    M_2 is a complete metric space
:(2):    A ⊆Ã
:(3):    A is dense in M_2
:(4):   ∀ x, y ∈ A : d̃(   )x, y = d (   )x, y. In terms of restriction of functions, this says that d̃_A(   )= d.


It is immediate from this definition that a completion of a metric space M_1 consists of:
:A complete metric space M_2
:An isometry ϕ : A →Ã
such that ϕ(   )A = {ϕ(   )x: x ∈ A } is dense in M_2.

An isometry is often required to be bijective, so here one should consider ϕ as a mapping from A to the image of ϕ.

Therefore to insist that ϕ be an isometry, in this context, is to say that ϕ must be an injection that preserves the metric of M_1.",Completion
['Definitions/Normed Division Rings'],Definition:Completion,"Let $M_1 = left( A, d right)$ and $M_2 = left( tilde A, tilde d right)$ be metric spaces.

Then $M_2$ is a completion of $M_1$, or $M_2$ completes $M_1$, :
:$(1): quad M_2$ is a complete metric space
:$(2): quad A subseteq tilde A$
:$(3): quad A$ is dense in $M_2$
:$(4): quad forall x, y in A : tilde d left(   right){x, y} = d left(   right){x, y}$. In terms of restriction of functions, this says that $tilde d {restriction_A}  left(   right)= d$.


It is immediate from this definition that a completion of a metric space $M_1$ consists of:
:A complete metric space $M_2$
:An isometry $phi : A to tilde A$
such that $phi left(   right)A = leftlbrace phi left(   right)x: x in A rightrbrace$ is dense in $M_2$.

An isometry is often required to be bijective, so here one should consider $phi$ as a mapping from $A$ to the image of $phi$.

Therefore to insist that $phi$ be an isometry, in this context, is to say that $phi$ must be an injection that preserves the metric of $M_1$.
",Definition:Completion (Normed Division Ring),,FALSE,"Let M_1 = ( A, d ) and M_2 = ( Ã, d̃) be metric spaces.

Then M_2 is a completion of M_1, or M_2 completes M_1, :
:(1):    M_2 is a complete metric space
:(2):    A ⊆Ã
:(3):    A is dense in M_2
:(4):   ∀ x, y ∈ A : d̃(   )x, y = d (   )x, y. In terms of restriction of functions, this says that d̃_A(   )= d.


It is immediate from this definition that a completion of a metric space M_1 consists of:
:A complete metric space M_2
:An isometry ϕ : A →Ã
such that ϕ(   )A = {ϕ(   )x: x ∈ A } is dense in M_2.

An isometry is often required to be bijective, so here one should consider ϕ as a mapping from A to the image of ϕ.

Therefore to insist that ϕ be an isometry, in this context, is to say that ϕ must be an injection that preserves the metric of M_1.
",Completion
"['Definitions/Abstract Algebra', 'Definitions/Group Theory', 'Definitions/Subset Products']",Definition:Complex,"Let $left( S, circ right)$ be an algebraic structure.


We can define an operation on the power set $mathcal P left( S right)$ as follows:

:$forall A, B in mathcal P left( S right): A circ_mathcal P B = leftlbrace a circ b: a in A, b in B rightrbrace$


This is called the operation induced on $mathcal P left( S right)$ by $circ$, and $A circ_mathcal P B$ is called the subset product of $A$ and $B$.


It is usual to write $A circ B$ for $A circ_mathcal P B$.


=== Subset Product with Singleton ===

When one of the subsets in a subset product is a singleton, we can (and often do) dispose of the set braces. Thus:
",Definition:Subset Product,,FALSE,"Let ( S, ∘) be an algebraic structure.


We can define an operation on the power set 𝒫( S ) as follows:

:∀ A, B ∈𝒫( S ): A ∘_𝒫 B = { a ∘ b: a ∈ A, b ∈ B }


This is called the operation induced on 𝒫( S ) by ∘, and A ∘_𝒫 B is called the subset product of A and B.


It is usual to write A ∘ B for A ∘_𝒫 B.


=== Subset Product with Singleton ===

When one of the subsets in a subset product is a singleton, we can (and often do) dispose of the set braces. Thus:
",Complex
"['Definitions/Group Theory', 'Definitions/Subsets', 'Definitions/Complexes of Groups']",Definition:Complex,"Let $G$ be a group.

Let $K subseteq G$ be a subset of $G$.


Then $K$ is referred to by some sources as a complex of elements of $G$.",Definition:Complex (Group Theory),,FALSE,"Let G be a group.

Let K ⊆ G be a subset of G.


Then K is referred to by some sources as a complex of elements of G.",Complex
['Definitions/Homological Algebra'],Definition:Complex,"Let $R$ be a commutative ring with unity.

Let $ds M = bigoplus_{n mathop in mathbb Z} M^n$ be a $mathbb Z$-graded $R$-module that is also a differential module with differential $mathrm d$.


Then $M$ is a differential complex if $mathrm d$ satisfies:

:$mathrm d left(   right){M^n} subseteq M^{n + 1}$

for all $n in mathbb Z$.


The notation $mathrm d_n := mathrm d restriction_{M_n}$ is often seen.",Definition:Differential Complex,,FALSE,"Let R be a commutative ring with unity.

Let M = ⊕_n ∈ℤ M^n be a ℤ-graded R-module that is also a differential module with differential d.


Then M is a differential complex if d satisfies:

:d(   )M^n⊆ M^n + 1

for all n ∈ℤ.


The notation d_n := d_M_n is often seen.",Complex
"['Definitions/Complex Fractions', 'Definitions/Fractions']",Definition:Complex,"A complex fraction is a fraction such that the numerator or denominator or both are themselves fractions.
",Definition:Fraction/Complex,,FALSE,"A complex fraction is a fraction such that the numerator or denominator or both are themselves fractions.
",Complex
['Definitions/Compound Statements'],Definition:Component,A substatement of a compound statement is one of the statements that comprise it.,Definition:Compound Statement/Substatement,,FALSE,A substatement of a compound statement is one of the statements that comprise it.,Component
['Definitions/Set Partitions'],Definition:Component,"Let $S$ be a set.

Let $mathbb S = leftlbrace S_1 mid S_2 mid cdots rightrbrace$ be a partition of $S$.


The elements $S_1, S_2, ldots in mathbb S$ are known as the components of the partition.


Category:Definitions/Set Partitions",Definition:Set Partition/Component,,FALSE,"Let S be a set.

Let 𝕊 = { S_1 | S_2 |⋯} be a partition of S.


The elements S_1, S_2, …∈𝕊 are known as the components of the partition.


Category:Definitions/Set Partitions",Component
['Definitions/Arc-Connected Spaces'],Definition:Component,"Let $T$ be a topological space.

Let us define the relation $sim$ on $T$ as follows:

:$x sim y iff x$ and $y$ are arc-connected.


We have that $sim $ is an equivalence relation, so from the Fundamental Theorem on Equivalence Relations, the points in $T$ can be partitioned into equivalence classes.

These equivalence classes are called the arc components of $T$.


If $x in T$, then the arc component of $T$ containing $x$ (that is, the set of points $y in T$ with $x sim y$) can be denoted by $operatorname {AC}_x left(   right)T$.",Definition:Arc Component,,FALSE,"Let T be a topological space.

Let us define the relation ∼ on T as follows:

:x ∼ y  x and y are arc-connected.


We have that ∼ is an equivalence relation, so from the Fundamental Theorem on Equivalence Relations, the points in T can be partitioned into equivalence classes.

These equivalence classes are called the arc components of T.


If x ∈ T, then the arc component of T containing x (that is, the set of points y ∈ T with x ∼ y) can be denoted by AC_x (   )T.",Component
['Definitions/Irreducible Spaces'],Definition:Component,"Let $T = left( S, tau right)$ be a topological space.


A subset $Y subseteq S$ is an irreducible component of $T$ :
:$Y$ is irreducible
:$Y$ is not a proper subset of an irreducible subset of $S$.

That is, :
:$Y$ is maximal in the ordered set of irreducible subsets of $S$, ordered by the subset relation.",Definition:Irreducible Component,,FALSE,"Let T = ( S, τ) be a topological space.


A subset Y ⊆ S is an irreducible component of T :
:Y is irreducible
:Y is not a proper subset of an irreducible subset of S.

That is, :
:Y is maximal in the ordered set of irreducible subsets of S, ordered by the subset relation.",Component
['Definitions/Graph Theory'],Definition:Component,"Let $G$ be a graph.

Let $H$ be a subgraph of $G$ such that:

:$H$ is connected

:$H$ is not contained in any connected subgraph of $G$ which has more vertices or edges than $H$ has.


Then $H$ is a component of $G$.",Definition:Component of Graph,,FALSE,"Let G be a graph.

Let H be a subgraph of G such that:

:H is connected

:H is not contained in any connected subgraph of G which has more vertices or edges than H has.


Then H is a component of G.",Component
"['Definitions/Electrical Components', 'Definitions/Electronics']",Definition:Component,An electrical component is a device whose purpose is to control electricity in a specific manner.,Definition:Electrical Component,,FALSE,An electrical component is a device whose purpose is to control electricity in a specific manner.,Component
"['Definitions/Mapping Theory', 'Definitions/Composite Mappings']",Definition:Composition,"Let $left[ S to S right]$ be the set of all mappings from a set $S$ to itself.

Then the concept of composite mapping defines a binary operation on $left[ S to S right]$:

:$forall f, g in left[ S to S right]: g circ f = leftlbrace left( s, t right): s in S, left( f left( s right), t right) in g rightrbrace in left[ S to S right]$


Thus, for every pair $left( f, g right)$ of mappings in $left[ S to S right]$, the composition $g circ f$ is another element of $left[ S to S right]$.
",Definition:Composition of Mappings,,FALSE,"Let [ S → S ] be the set of all mappings from a set S to itself.

Then the concept of composite mapping defines a binary operation on [ S → S ]:

:∀ f, g ∈[ S → S ]: g ∘ f = {( s, t ): s ∈ S, ( f ( s ), t ) ∈ g }∈[ S → S ]


Thus, for every pair ( f, g ) of mappings in [ S → S ], the composition g ∘ f is another element of [ S → S ].
",Composition
['Definitions/Relation Theory'],Definition:Composition,"Let $mathcal R_1 subseteq S_1 times T_1$ and $mathcal R_2 subseteq S_2 times T_2$ be relations.


Then the composite of $mathcal R_1$ and $mathcal R_2$ is defined and denoted as:

:$mathcal R_2 circ mathcal R_1 := leftlbrace left( x, z right) in S_1 times T_2: exists y in S_2 cap T_1: left( x, y right) in mathcal R_1 land left( y, z right) in mathcal R_2 rightrbrace$






It is clear that the composite relation $mathcal R_2 circ mathcal R_1$ can also be defined as:

:$mathcal R_2 circ mathcal R_1 left(   right){S_1} = mathcal R_2 left(   right){mathcal R_1 left(   right){S_1} }$


Note that:
:$(1): quad mathcal R_2 circ mathcal R_1 subseteq S_1 times T_2$
:$(2): quad$ The domain of $mathcal R_2 circ mathcal R_1$ equals the domain of $mathcal R_1$, that is, $S_1$
:$(3): quad$ The codomain of $mathcal R_2 circ mathcal R_1$ equals the codomain of $mathcal R_2$, that is, $T_2$.",Definition:Composition of Relations,,FALSE,"Let ℛ_1 ⊆ S_1 × T_1 and ℛ_2 ⊆ S_2 × T_2 be relations.


Then the composite of ℛ_1 and ℛ_2 is defined and denoted as:

:ℛ_2 ∘ℛ_1 := {( x, z ) ∈ S_1 × T_2: ∃ y ∈ S_2 ∩ T_1: ( x, y ) ∈ℛ_1 ( y, z ) ∈ℛ_2 }






It is clear that the composite relation ℛ_2 ∘ℛ_1 can also be defined as:

:ℛ_2 ∘ℛ_1 (   )S_1 = ℛ_2 (   )ℛ_1 (   )S_1


Note that:
:(1):   ℛ_2 ∘ℛ_1 ⊆ S_1 × T_2
:(2): The domain of ℛ_2 ∘ℛ_1 equals the domain of ℛ_1, that is, S_1
:(3): The codomain of ℛ_2 ∘ℛ_1 equals the codomain of ℛ_2, that is, T_2.",Composition
['Definitions/Category Theory'],Definition:Composition,"Let $mathbf C, mathbf D$ and $mathbf E$ be metacategories.

Let $F: mathbf C to mathbf D$ and $G: mathbf D to mathbf E$ be (covariant) functors.


The composition of $G$ with $F$ is the functor $GF: mathbf C to mathbf E$ defined by:

:For all objects $C$ of $mathbf C$: $hskip{2.9cm} GF left({C}right) := G left({FC}right)$
:For all morphisms $f: C_1 to C_2$ of $mathbf C$: $quad GF left({f}right) := G left({Ff}right)$

$GF$ is said to be a composite functor.",Definition:Composition of Functors,,FALSE,"Let 𝐂, 𝐃 and 𝐄 be metacategories.

Let F: 𝐂→𝐃 and G: 𝐃→𝐄 be (covariant) functors.


The composition of G with F is the functor GF: 𝐂→𝐄 defined by:

:For all objects C of 𝐂: 2.9cm GF (C) := G (FC)
:For all morphisms f: C_1 → C_2 of 𝐂: GF (f) := G (Ff)

GF is said to be a composite functor.",Composition
"['Definitions/Slice Categories', 'Definitions/Category Theory']",Definition:Composition,"Let $mathbf C, mathbf D$ and $mathbf E$ be metacategories.

Let $F: mathbf C to mathbf D$ and $G: mathbf D to mathbf E$ be (covariant) functors.


The composition of $G$ with $F$ is the functor $GF: mathbf C to mathbf E$ defined by:

:For all objects $C$ of $mathbf C$: $hskip{2.9cm} GF left({C}right) := G left({FC}right)$
:For all morphisms $f: C_1 to C_2$ of $mathbf C$: $quad GF left({f}right) := G left({Ff}right)$

$GF$ is said to be a composite functor.
",Definition:Composition Functor on Slice Categories,,FALSE,"Let 𝐂, 𝐃 and 𝐄 be metacategories.

Let F: 𝐂→𝐃 and G: 𝐃→𝐄 be (covariant) functors.


The composition of G with F is the functor GF: 𝐂→𝐄 defined by:

:For all objects C of 𝐂: 2.9cm GF (C) := G (FC)
:For all morphisms f: C_1 → C_2 of 𝐂: GF (f) := G (Ff)

GF is said to be a composite functor.
",Composition
['Definitions/Combinatorics'],Definition:Composition,"A $k$-composition of a (strictly) positive integer $n in mathbb Z_{> 0}$ is an ordered $k$-tuple:
:$c = left( c_1, c_2, ldots, c_k right)$
such that:
:$(1): quad c_1 + c_2 + cdots + c_k = n$
:$(2): quad forall i in left[ 1 ,.,.,   right]k: c_i in mathbb Z_{>0}$, that is, all the $c_i$ are strictly positive integers.

Category:Definitions/Combinatorics",Definition:Composition (Combinatorics),,FALSE,"A k-composition of a (strictly) positive integer n ∈ℤ_> 0 is an ordered k-tuple:
:c = ( c_1, c_2, …, c_k )
such that:
:(1):    c_1 + c_2 + ⋯ + c_k = n
:(2):   ∀ i ∈[ 1  . . ]k: c_i ∈ℤ_>0, that is, all the c_i are strictly positive integers.

Category:Definitions/Combinatorics",Composition
['Definitions/Euclidean Algebra'],Definition:Composition,"Let $R = a : b$ be a ratio.

Then the composition of $R$ is the ratio $a + b : b$.



:


Category:Definitions/Euclidean Algebra",Definition:Composition of Ratio,,FALSE,"Let R = a : b be a ratio.

Then the composition of R is the ratio a + b : b.



:


Category:Definitions/Euclidean Algebra",Composition
['Definitions/Cones'],Definition:Cone,"A cone is a three-dimensional geometric figure which consists of the set of all straight lines joining the boundary of a plane figure $PQR$ to a point $A$ not in the same plane of $PQR$:


:",Definition:Cone (Geometry),figure,TRUE,"A cone is a three-dimensional geometric figure which consists of the set of all straight lines joining the boundary of a plane figure PQR to a point A not in the same plane of PQR:


:",Cone
['Definitions/Category Theory'],Definition:Cone,"Let $mathbf C$ be a metacategory.

Let $D: mathbf J to mathbf C$ be a $mathbf J$-diagram in $mathbf C$.


A cone to $D$ comprises an object $C$ of $mathbf C$, and a morphism:

:$c_j: C to D_j$

for each object of $mathbf J$, such that for each morphism $alpha: i to j$ of $mathbf J$:

::$begin{xy}xymatrix@+0.5em@L+2px{
 C
  ar[d]_*+{c_i}
  ar[dr]^*+{c_j}

\
 D_i
  ar[r]_*+{D_alpha}
&
 D_j
}end{xy}$

is a commutative diagram.

",Definition:Cone (Category Theory),,FALSE,"Let 𝐂 be a metacategory.

Let D: 𝐉→𝐂 be a 𝐉-diagram in 𝐂.


A cone to D comprises an object C of 𝐂, and a morphism:

:c_j: C → D_j

for each object of 𝐉, such that for each morphism α: i → j of 𝐉:

::@+0.5em@L+2px
 C
  [d]_*+c_i[dr]^*+c_j

 D_i
  [r]_*+D_α   
 D_j

is a commutative diagram.

",Cone
"['Definitions/Congruence (Geometry)', 'Definitions/Geometry']",Definition:Congruence,"In the field of Euclidean geometry, two geometric figures are congruent :

:they are, informally speaking, both ""the same size and shape""

:they differ only in position in space

:one figure can be overlaid on the other figure with a series of rotations, translations, and reflections.


Specifically:
:all corresponding angles of the congruent figures must have the same measurement
:all corresponding sides of the congruent figures must be be the same length.",Definition:Congruence (Geometry),,FALSE,"In the field of Euclidean geometry, two geometric figures are congruent :

:they are, informally speaking, both ""the same size and shape""

:they differ only in position in space

:one figure can be overlaid on the other figure with a series of rotations, translations, and reflections.


Specifically:
:all corresponding angles of the congruent figures must have the same measurement
:all corresponding sides of the congruent figures must be be the same length.",Congruence
['Definitions/Metric Spaces'],Definition:Congruence,"Let $left( X, d right)$ be a metric space.

Two subsets $A, B subseteq X$ of $X$ are said to be congruent  there exists an isometry $f: X to X$ such that $f^to left(   right)A = B$.

Such an isometry is called a congruence.",Definition:Congruence (Metric Spaces),,FALSE,"Let ( X, d ) be a metric space.

Two subsets A, B ⊆ X of X are said to be congruent  there exists an isometry f: X → X such that f^→(   )A = B.

Such an isometry is called a congruence.",Congruence
['Definitions/Ideal Theory'],Definition:Congruence,"Let $left( R, +, circ right)$ be a ring, and let $J$ be an ideal of $R$.


The notation:

:$a equiv b pmod J$

is used to mean:

:$a + left( -b right) in J$",Definition:Congruence Modulo an Ideal,,FALSE,"Let ( R, +, ∘) be a ring, and let J be an ideal of R.


The notation:

:a ≡ b  J

is used to mean:

:a + ( -b ) ∈ J",Congruence
"['Definitions/Abstract Algebra', 'Definitions/Equivalence Relations']",Definition:Congruence,"Let $left( S, circ right)$ be an algebraic structure.

Let $mathcal R$ be an equivalence relation on $S$.


Then $mathcal R$ is a congruence relation for $circ$ :

:$forall x_1, x_2, y_1, y_2 in S: left( x_1 mathrel mathcal R x_2 right) land left( y_1 mathrel mathcal R y_2 right) implies left( x_1 circ y_1 right) mathrel mathcal R left( x_2 circ y_2 right)$",Definition:Congruence Relation,,FALSE,"Let ( S, ∘) be an algebraic structure.

Let ℛ be an equivalence relation on S.


Then ℛ is a congruence relation for ∘ :

:∀ x_1, x_2, y_1, y_2 ∈ S: ( x_1 ℛ x_2 ) ( y_1 ℛ y_2 ) ( x_1 ∘ y_1 ) ℛ( x_2 ∘ y_2 )",Congruence
"['Definitions/Matrix Congruence', 'Definitions/Matrix Equivalence', 'Definitions/Matrix Algebra', 'Definitions/Linear Algebra']",Definition:Congruence,"Let $R$ be a commutative ring with unity.

Let $n$ be a positive integer.

Let $mathbf A$ and $mathbf B$ be square matrices of order $n$ over $R$.


Then:
:$mathbf A$ and $mathbf B$ are congruent
:
:there exists an invertible matrix $mathbf P in R^{n times n}$ such that $mathbf B = mathbf P^intercal mathbf A mathbf P$
where $mathbf P^intercal$ denotes the transpose of $mathbf P$.",Definition:Matrix Congruence,,FALSE,"Let R be a commutative ring with unity.

Let n be a positive integer.

Let 𝐀 and 𝐁 be square matrices of order n over R.


Then:
:𝐀 and 𝐁 are congruent
:
:there exists an invertible matrix 𝐏∈ R^n × n such that 𝐁 = 𝐏^⊺𝐀𝐏
where 𝐏^⊺ denotes the transpose of 𝐏.",Congruence
"['Definitions/Conjugate Angles', 'Definitions/Angles']",Definition:Conjugate,"The conjugate of an angle $theta$ is the angle $phi$ such that:
:$theta + phi = 2 pi$
where $theta$ and $pi$ are expressed in radians.

That is, it is the angle that makes the given angle equal to a full angle.


Equivalently, the conjugate of an angle $theta$ is the angle $phi$ such that:
:$theta + phi = 360 ^circ$
where $theta$ and $pi$ are expressed in degrees.


Thus, conjugate angles are two angles whose measures add up to the measure of $4$ right angles.

That is, their measurements add up to $360$ degrees or $2 pi$ radians.",Definition:Conjugate Angles,,FALSE,"The conjugate of an angle θ is the angle ϕ such that:
:θ + ϕ = 2 π
where θ and π are expressed in radians.

That is, it is the angle that makes the given angle equal to a full angle.


Equivalently, the conjugate of an angle θ is the angle ϕ such that:
:θ + ϕ = 360 ^∘
where θ and π are expressed in degrees.


Thus, conjugate angles are two angles whose measures add up to the measure of 4 right angles.

That is, their measurements add up to 360 degrees or 2 π radians.",Conjugate
['Definitions/Hyperbolas'],Definition:Conjugate," 

:


Consider a hyperbola $K$ whose foci are $F_1$ and $F_2$.


Let $PQ$ and $RS$ be line segments constructed through the vertices of $K$ parallel to the minor axis of $K$ and intersecting the asymptotes of $K$ at $P$, $Q$, $R$ and $S$ as above.

Construct the line segments $PR$ and $QS$.

Let $C_1$ and $C_2$ be the points of intersection of $PR$ and $QS$ with the minor axis of $K$.


The conjugate axis of $K$ is the line segment $C_1 C_2$.",Definition:Hyperbola/Conjugate Axis,,FALSE," 

:


Consider a hyperbola K whose foci are F_1 and F_2.


Let PQ and RS be line segments constructed through the vertices of K parallel to the minor axis of K and intersecting the asymptotes of K at P, Q, R and S as above.

Construct the line segments PR and QS.

Let C_1 and C_2 be the points of intersection of PR and QS with the minor axis of K.


The conjugate axis of K is the line segment C_1 C_2.",Conjugate
