"term","def","file_name","extraction_rule","plain_text_def","plain_text_term"
"Multicolour monotonicity","An order-hereditary property $\mathcal{P}$ of $k$-colourings is \emph{monotone} with respect to colour $i\in[k]$, or \emph{$i$-monotone} , if whenever $c$ is a $k$-colouring of~$K_n$ which lies in $\mathcal{P}$ and $e$ is any edge of~$K_n$, the colouring~$\tilde{c}$ obtained from $c$ by changing the colour of~$e$ to $i$ also lies in $\mathcal{P}$.","1801.05195#containerpaperarxivupdate.tex","definition[]","An order-hereditary property 𝒫 of k-colourings is monotone with respect to colour i∈[k], or i-monotone , if whenever c is a k-colouring of K_n which lies in 𝒫 and e is any edge of K_n, the colouring c̃ obtained from c by changing the colour of e to i also lies in 𝒫.","Multicolour monotonicity"
"Multicolour monotonicity","An order-hereditary property $\mathcal{P}$ of $k$-colourings is \emph{monotone} with respect to colour $i\in[k]$ if whenever $c$ is a $k$-colouring of~$K_n$ which lies in $\mathcal{P}$ and $e$ is any edge of~$K_n$, the colouring~$\tilde{c}$ obtained from $c$ by changing the colour of~$e$ to $i$ also lies in $\mathcal{P}$.","1607.08152#masterdraftJuly14Andrew.tex","definition[]","An order-hereditary property 𝒫 of k-colourings is monotone with respect to colour i∈[k] if whenever c is a k-colouring of K_n which lies in 𝒫 and e is any edge of K_n, the colouring c̃ obtained from c by changing the colour of e to i also lies in 𝒫.","Multicolour monotonicity"
"Multiplicity","For $P(\vec X) \in \F[\vec X]$ and $\vec a \in \F^n$,
the {\em multiplicity} of $P$ at $\veca \in \F^n$,
denoted $\mult(P,\veca)$, is the largest integer $M$ such that
for every
non-negative vector $\veci$ with $\wt(\veci) < M$, we have
$P^{(\veci)}(\veca) = 0$
(if $M$ may be taken
arbitrarily large, we set $\mult(P, \veca) = \infty$).","0901.2529#0901.2529.tex","definition[]","For P(X⃗) ∈[X⃗] and a⃗∈^n,
the multiplicity of P at ∈^n,
denoted (P,), is the largest integer M such that
for every
non-negative vector  with () < M, we have
P^()() = 0
(if M may be taken
arbitrarily large, we set (P, ) = ∞).","Multiplicity"
"Multiplicity","\label{defn:multiplicity_for_H}
	Define the multiplicity function $\sm_H:\FX_{d,k}(H) \to \BN$ by
	\begin{equation}
		\sm_H(\si) = |\Phi^{-1}(\si)|,\qquad \forall \si\in \FX_{d,k}(H).
	\end{equation}
	Note that by the definition of the complex $\FX_{d,k}(H)$, it is always the case that $\sm(v)=1$ for $v\in \FX_{d,k}^0(H)$.","1607.07734#Groups_and_SC.tex","definition[]","
	Define the multiplicity function _H:_d,k(H) → by
	
    _H() = |Φ^-1()|,    ∀∈_d,k(H).

	Note that by the definition of the complex _d,k(H), it is always the case that (v)=1 for v∈_d,k^0(H).","Multiplicity"
"NP","The problem of deciding whether $\chi _{=}(K_{3,3} \circ H) =4$ is \emph{NP}-complete even if $H \in Q_3(t)$ and $10 | t$. \hfill $\Box$ \label{twNP}","1409.0650#corona_disc_math.tex","theorem + \emph{}","The problem of deciding whether χ _=(K_3,3∘ H) =4 is NP-complete even if H ∈ Q_3(t) and 10 | t.  ","NP"
"NP","\label{th2}
  It is \emph{NP}-hard to approximate the $2$-connected $k$-bottleneck Steiner network problem to within a ratio smaller than ${2}^\frac{1}{p}$ when $1\leq p< \infty$.","1907.03474#main.tex","theorem + \emph{}","
  It is NP-hard to approximate the 2-connected k-bottleneck Steiner network problem to within a ratio smaller than 2^1/p when 1≤ p< ∞.","NP"
"NP","\label{t:CTC}
{\sc Common-Tree-Containment} is \emph{NP}-complete when the input consists of two temporal normal networks.","1901.06612#write-up.tex","theorem + \emph{}","
Common-Tree-Containment is NP-complete when the input consists of two temporal normal networks.","NP"
"Naji equations","\label{najieq}\cite{N1, N} Let $G$ be a simple graph. For each pair of
distinct vertices $v$ and $w$ of $G$, let $\beta(v,w)$ and $\beta(w,v)$ be
distinct variables. Then the \emph{Naji equations} for $G$ are the following.

(a) For each edge $vw$ of $G$, $\beta(v,w)+\beta(w,v)=1$.

(b) If $v,w,x$ are three distinct vertices of $G$ such that $vw\in E(G)$ and
$vx,wx\notin E(G)$, then $\beta(x,v)+\beta(x,w)=0$.

(c) If $v,w,x$ are three distinct vertices of $G$ such that $vw,vx\in E(G)$
and $wx\notin E(G)$, then $\beta(v,w)+\beta(v,x)+\beta(w,x)+\beta(x,w)=1$.","1507.00593#1507.00593.tex","definition + \emph{}","<cit.> Let G be a simple graph. For each pair of
distinct vertices v and w of G, let β(v,w) and β(w,v) be
distinct variables. Then the Naji equations for G are the following.

(a) For each edge vw of G, β(v,w)+β(w,v)=1.

(b) If v,w,x are three distinct vertices of G such that vw∈ E(G) and
vx,wx∉ E(G), then β(x,v)+β(x,w)=0.

(c) If v,w,x are three distinct vertices of G such that vw,vx∈ E(G)
and wx∉ E(G), then β(v,w)+β(v,x)+β(w,x)+β(x,w)=1.","Naji equations"
"Naji equations","\label{najieq} Let $G$ be a simple graph. For each pair of
distinct vertices $v$ and $w$ of $G$, let $\beta(v,w)$ and $\beta(w,v)$ be
distinct variables. Then the \emph{Naji equations} for $G$ are the following.
\begin{enumerate}
\item If $vw$ is an edge of $G$ then $\beta(v,w)+\beta(w,v)=1$.

\item If $v,w,x$ are three distinct vertices of $G$ such that $vw$ is an edge of $G$ and $vx,wx$ are not edges of $G$, then $\beta(x,v)+\beta(x,w)=0$.

\item If $v,w,x$ are three distinct vertices of $G$ such that $vw,vx$ are edges of $G$ and $wx$ is not an edge of $G$, then $\beta(v,w)+\beta(v,x)+\beta(w,x)+\beta(x,w)=1$.
\end{enumerate}","1703.05960#foursum.tex","definition + \emph{}"," Let G be a simple graph. For each pair of
distinct vertices v and w of G, let β(v,w) and β(w,v) be
distinct variables. Then the Naji equations for G are the following.


  * If vw is an edge of G then β(v,w)+β(w,v)=1.


  * If v,w,x are three distinct vertices of G such that vw is an edge of G and vx,wx are not edges of G, then β(x,v)+β(x,w)=0.


  * If v,w,x are three distinct vertices of G such that vw,vx are edges of G and wx is not an edge of G, then β(v,w)+β(v,x)+β(w,x)+β(x,w)=1.
","Naji equations"
"Newton polytope","The \emph{Newton polytope} of a monomial ideal $I$ in $\mathrm{\bf k}[x_1,\ldots x_n]$ is the polytope $\textrm{Newt}(I)$ in $\mathbb{R}^n$ spanned by the exponent vectors of the generators of $I.$","1212.2146#newpreprint6.tex","definition + \emph{}","The Newton polytope of a monomial ideal I in k[x_1,… x_n] is the polytope Newt(I) in ℝ^n spanned by the exponent vectors of the generators of I.","Newton polytope"
"Newton polytope","The \emph{Newton polytope} of a Laurent polynomial is the convex hull of all the exponent vectors of the monomials, i.e. the convex hull of all points $(c_1,c_2,. . .)$ such that the monomial $x_1^{c_1} x_2^{c_2} . . .$ appears with a nonzero coefficient in the Laurent polynomial.","1310.0555#Newton_Polytopes_of_Cluster_Variables_of_Type_A_n.tex","definition + \emph{}","The Newton polytope of a Laurent polynomial is the convex hull of all the exponent vectors of the monomials, i.e. the convex hull of all points (c_1,c_2,. . .) such that the monomial x_1^c_1 x_2^c_2 . . . appears with a nonzero coefficient in the Laurent polynomial.","Newton polytope"
"Nilprogression","\label{def:nilprog}
Let $x_1,\ldots,x_r$ be elements that generate an $s$-step nilpotent group and let $L=(L_1,\ldots,L_r)$ be a vector of positive integers. Then the set of all products in the $x_i$ and their inverses in which each $x_i$ and its inverse appear at most $L_i$ times between them is called a \emph{nilprogression} of rank $r$, step $s$ and side lengths $L_1,\ldots,L_r$, and is denoted $P^*(x_1,\ldots,x_r;L)$.","1211.3989#1211.3989.tex","definition[]","
Let x_1,…,x_r be elements that generate an s-step nilpotent group and let L=(L_1,…,L_r) be a vector of positive integers. Then the set of all products in the x_i and their inverses in which each x_i and its inverse appear at most L_i times between them is called a nilprogression of rank r, step s and side lengths L_1,…,L_r, and is denoted P^*(x_1,…,x_r;L).","Nilprogression"
"Nilprogression","\label{nilprogression-def} Suppose that $G$ is a local group and that $s \geq 0$ is an integer. A \emph{nilprogression} of rank $r$ and $s$ is a non-commutative progression $P(u_1,\ldots ,u_r;N_1,\ldots ,N_r)$ with the property that every iterated commutator of degree $s+1$ in the generators $u_1,\ldots ,u_r$ is well-defined and equals the identity $\id$.","1110.5008#structure.tex","definition[]"," Suppose that G is a local group and that s ≥ 0 is an integer. A nilprogression of rank r and s is a non-commutative progression P(u_1,… ,u_r;N_1,… ,N_r) with the property that every iterated commutator of degree s+1 in the generators u_1,… ,u_r is well-defined and equals the identity 𝕀.","Nilprogression"
"Nilsequences","A \emph{$2$-step nilmanifold} is a homogeneous space $G/\Gamma$, where $G$ is a nilpotent Lie groups of step at most $2$, and $\Gamma$ is a discrete cocompact subgroup.  A \emph{fundamental $2$-step nilmanifold} is one of the following three examples of a $2$-step nilmanifold:
\begin{itemize}
\item \textup{(Unit circle)} $G = \R$ and $\Gamma = \Z$.
\item \textup{(Skew torus)} $G = \left(\begin{smallmatrix} 1 & \Z & \R \\ 0 & 1 & \R \\ 0 & 0 & 1 \end{smallmatrix}\right)$ and $\Gamma = \left(\begin{smallmatrix} 1 & \Z & \Z \\ 0 & 1 & \Z \\ 0 & 0 & 1 \end{smallmatrix}\right)$.
\item \textup{(Heisenberg nilmanifold)} $G = \left(\begin{smallmatrix} 1 & \R & \R \\ 0 & 1 & \R \\ 0 & 0 & 1 \end{smallmatrix}\right)$ and $\Gamma = \left(\begin{smallmatrix} 1 & \Z & \Z \\ 0 & 1 & \Z \\ 0 & 0 & 1 \end{smallmatrix}\right)$.
\end{itemize}
We place smooth metrics on each of these nilmanifolds; the exact choice of metric is not important. An \emph{elementary $2$-step nilmanifold} is a Cartesian product of finitely many fundamental $2$-step nilmanifolds, with the product metric. Again, the exact convention for defining the product metric is not important.  An \emph{elementary $2$-step nilsequence} is a sequence of the form $n \mapsto F(g^n x_0)$, where $G/\Gamma$ is an elementary $2$-step nilmanifold, $F: G/\Gamma \to \C$ is a Lipschitz function, $g \in G$, and $x_0 \in \Gamma$.","0906.3100#0906.3100.tex","definition[]","A 2-step nilmanifold is a homogeneous space G/Γ, where G is a nilpotent Lie groups of step at most 2, and Γ is a discrete cocompact subgroup.  A fundamental 2-step nilmanifold is one of the following three examples of a 2-step nilmanifold:


  *  G = and Γ =.

  *  G = ([ 1    ; 0 1  ; 0 0 1 ]) and Γ = ([ 1    ; 0 1  ; 0 0 1 ]).

  *  G = ([ 1    ; 0 1  ; 0 0 1 ]) and Γ = ([ 1    ; 0 1  ; 0 0 1 ]).

We place smooth metrics on each of these nilmanifolds; the exact choice of metric is not important. An elementary 2-step nilmanifold is a Cartesian product of finitely many fundamental 2-step nilmanifolds, with the product metric. Again, the exact convention for defining the product metric is not important.  An elementary 2-step nilsequence is a sequence of the form n ↦ F(g^n x_0), where G/Γ is an elementary 2-step nilmanifold, F: G/Γ→ is a Lipschitz function, g ∈ G, and x_0 ∈Γ.","Nilsequences"
"Nilsequences","A \emph{\textup{(}polynomial\textup{)} nilsequence} of degree $\leq s$ and complexity $\leq M$ is any function $f: \Z \to \C$ of the form $f(n) = F(g(n)\Gamma)$, where $n \mapsto g(n)\Gamma$ is a polynomial orbit of degree $\leq s$ and complexity $\leq M$, and $F: G/\Gamma \to \C$ is a function of Lipschitz norm\footnote{The (inhomogeneous) Lipschitz norm $\|F\|_{\operatorname{Lip}}$ of a function $F: X \to \C$ on a metric space $X = (X,d)$ is defined as
$$\|F\|_{\operatorname{Lip}} := \sup_{x \in X} |F(x)| + \sup_{x,y \in X: x \neq y} \frac{|F(x)-F(y)|}{|x-y|}.$$
} at most $M$.","1505.06479#1505.06479.tex","definition[]","A polynomial nilsequence of degree ≤ s and complexity ≤ M is any function f: → of the form f(n) = F(g(n)Γ), where n ↦ g(n)Γ is a polynomial orbit of degree ≤ s and complexity ≤ M, and F: G/Γ→ is a function of Lipschitz norm[The (inhomogeneous) Lipschitz norm F_Lip of a function F: X → on a metric space X = (X,d) is defined as

    F_Lip := sup_x ∈ X |F(x)| + sup_x,y ∈ X: x ≠ y|F(x)-F(y)|/|x-y|.

] at most M.","Nilsequences"
"Non-classical polynomials","\label{poly}
For an integer $d \geq 0$, a function $P: \F^n \to \T$ is said to be a
{\em non-classical polynomial of degree $\leq d$} (or simply a
{\em polynomial of degree $\leq d$}) if for all $y_1,
\dots, y_{d+1}, x \in \F^n$, it holds that
\begin{equation}\label{eqn:poly}
(D_{y_1}\cdots D_{y_{d+1}} P)(x) = 0.
\end{equation}
The {\em degree} of $P$ is the smallest $d$ for which the above holds.
A function $P : \F^n \to \T$ is said to be a {\em classical polynomial of degree
$\leq d$} if it is a non-classical polynomial of degree $\leq d$
whose image is contained in $\frac{1}{p} \Z/\Z$.","1403.7703#equidist-24-03-2014.tex","definition[]","
For an integer d ≥ 0, a function P: ^n → is said to be a
non-classical polynomial of degree ≤ d (or simply a
polynomial of degree ≤ d) if for all y_1,
…, y_d+1, x ∈^n, it holds that

    (D_y_1⋯ D_y_d+1 P)(x) = 0.

The degree of P is the smallest d for which the above holds.
A function P : ^n → is said to be a classical polynomial of degree
≤ d if it is a non-classical polynomial of degree ≤ d
whose image is contained in 1/p/.","Non-classical polynomials"
"Non-classical polynomials","\label{poly}
For an integer $d \geq 0$, a function $P: \F^n \to \T$ is said to be a
{\em non-classical polynomial of degree $\leq d$} (or simply a
{\em polynomial of degree $\leq d$}) if for all $h_1,
\dots, h_{d+1}, x \in \F^n$, it holds that
\begin{equation}\label{eqn:poly}
(D_{h_1}\cdots D_{h_{d+1}} P)(x) = 0.
\end{equation}
The {\em degree} of $P$ is the smallest $d$ for which the above holds.
A function $P : \F^n \to \T$ is said to be a {\em classical polynomial of degree
$\leq d$} if it is a non-classical polynomial of degree $\leq d$
whose image is contained in $\iota(\F)$.","1308.4108#linearlimits5.tex","definition[]","
For an integer d ≥ 0, a function P: ^n → is said to be a
non-classical polynomial of degree ≤ d (or simply a
polynomial of degree ≤ d) if for all h_1,
…, h_d+1, x ∈^n, it holds that

    (D_h_1⋯ D_h_d+1 P)(x) = 0.

The degree of P is the smallest d for which the above holds.
A function P : ^n → is said to be a classical polynomial of degree
≤ d if it is a non-classical polynomial of degree ≤ d
whose image is contained in ι().","Non-classical polynomials"
"Norm","\label{def_norm}
    Let $(\magma,\star)$ be a magma.  A  \textbf{\valns} is  a super-additive map   $\norm{\cdot}  : \magma\to \nat$.
    If  $(\magma,\star)$ has a \val it will be called a \textbf{\vald  magma}.","1808.09078#magmatization_04.tex","definition[]","
    Let (,⋆) be a magma.  A   is  a super-additive map   ·  : →.
    If  (,⋆) has a it will be called a magma.","Norm"
"Norm","\label{def:norm}
Let \mbox{($\cM$, $f_1$, $\hdots$, $f_k$)} be an $\bm{n}$-magma, where $\bm{n} = (n_1, \hdots, n_k)$. A \textbf{norm} is a map $\norm{\cdot}: \cM \rightarrow \mathbb{N}$ that satisfies the \textbf{super-additive} conditions:
\begin{enumerate}
    \item All unary maps $f_i: \cM \rightarrow \cM$ must satisfy
    \begin{equation*}
    \norm{f_i(m)} > \norm{m}\,.
\end{equation*}
 
\item  All   maps $f_i: \cM^{n_i} \rightarrow \cM$, $n_i>1$, must satisfy
\begin{equation*}
    \norm{f_i(m_1, \hdots, m_{n_i})} \geq \sum_{j = 1}^{n_i} \norm{m_j}\,.
\end{equation*}

\end{enumerate}
If \mbox{($\cM$, $f_1$, $\hdots$, $f_k$)} has a norm, then it will be called a \textbf{normed $\bm{n}$-magma}.","1909.09296#mainAll_V2.tex","definition[]","
Let  be an n-magma, where n = (n_1, , n_k). A norm is a map ·: →ℕ that satisfies the super-additive conditions:

    
  * All unary maps f_i: → must satisfy
    
    f_i(m) > m .

 

  * All   maps f_i: ^n_i→, n_i>1, must satisfy

    f_i(m_1, , m_n_i)≥∑_j = 1^n_im_j .



If  has a norm, then it will be called a normed n-magma.","Norm"
"Ordering","\label{order-def}  An \emph{ordering} $I = (I, \prec, +, 0)$ is a set $I$ equipped with a partial ordering $\prec$, a binary operation $+: I \times I \to I$, and a distinguished element $0 \in I$ with the following properties:
\begin{enumerate}
\item The operation $+$ is commutative and associative, and has $0$ as the identity element.
\item The partial ordering $\prec$ has $0$ as the minimal element.
\item If $i, j \in I$ are such that $i \prec j$, then $i + k \prec j+k$ for all $k \in I$.
\item For every $d \in I$, the initial segment $\{ i \in I: i \prec d \}$ is finite.
\end{enumerate}
A \emph{finite downset} in $I$ is a finite subset $J$ of $I$ with the property that $j \in J$ whenever $j \in I$ and $j \prec i$ for some $i \in J$.","1009.3998#1009.3998.tex","definition[]","  An ordering I = (I, ≺, +, 0) is a set I equipped with a partial ordering ≺, a binary operation +: I × I → I, and a distinguished element 0 ∈ I with the following properties:


  * The operation + is commutative and associative, and has 0 as the identity element.

  * The partial ordering ≺ has 0 as the minimal element.

  * If i, j ∈ I are such that i ≺ j, then i + k ≺ j+k for all k ∈ I.

  * For every d ∈ I, the initial segment { i ∈ I: i ≺ d } is finite.

A finite downset in I is a finite subset J of I with the property that j ∈ J whenever j ∈ I and j ≺ i for some i ∈ J.","Ordering"
"Ordering","We define $\om_H=(\om_{\Fb})_{\Fb\in \CM^{d-1}(H)}$ as follows. Given a $(d-1)$-multicell $[K_i g]_H\in \CM^{d-1}(H)$ and a $d$-multicell $[\alpha_i^l g]_H\in \CM^d(H)$ containing it, define 
\begin{equation}\label{eq:ordering_rewritten}
	\om_{[K_i g]_H}(\alpha_i^m).[\alpha_i^l g]_H = [\alpha_i^{l+m}g]_H,\qquad \forall m\in\ls k-1\rs.
\end{equation}","1607.07734#Groups_and_SC.tex","definition[]","We define _H=(_)_∈^d-1(H) as follows. Given a (d-1)-multicell [K_i g]_H∈^d-1(H) and a d-multicell [α_i^l g]_H∈^d(H) containing it, define 

    _[K_i g]_H(α_i^m).[α_i^l g]_H = [α_i^l+mg]_H,    ∀ m∈ k-1.
","Ordering"
"Ore-composition;edge-side;split-side;replaced edge;split vertex;$k$-Ore graph","An \emph{Ore-composition} of graphs $G_1$ and $G_2$ is a graph obtained by the following procedure:
\begin{enumerate}
\item delete an edge $xy$ from $G_1$;
\item split some vertex $z$ of $G_2$ into two vertices $z_1$ and $z_2$ of positive degree;
\item identify $x$ with $z_1$ and identify $y$ with $z_2$.
\end{enumerate}
We say that $G_1$ is the \emph{edge-side} and $G_2$ the \emph{split-side} of the composition. Furthermore, we say that $xy$ is the \emph{replaced edge} of $G_1$ and that $z$ is the \emph{split vertex} of $G_2$.
We say that $G$ is a \emph{$k$-Ore graph} if it can be obtained from copies of $K_k$ and repeated Ore-compositions.","1409.5295#1409.5295.tex","definition + \emph{}","An Ore-composition of graphs G_1 and G_2 is a graph obtained by the following procedure:


  * delete an edge xy from G_1;

  * split some vertex z of G_2 into two vertices z_1 and z_2 of positive degree;

  * identify x with z_1 and identify y with z_2.

We say that G_1 is the edge-side and G_2 the split-side of the composition. Furthermore, we say that xy is the replaced edge of G_1 and that z is the split vertex of G_2.
We say that G is a k-Ore graph if it can be obtained from copies of K_k and repeated Ore-compositions.","Ore-composition;edge-side;split-side;replaced edge;split vertex;k-Ore graph"
"Ore-composition;edge-side;split-side;replaced edge;split vertex;$k$-Ore graph","An \emph{Ore-composition} of graphs $G_1$ and $G_2$ is a graph obtained as follows:
\begin{enumerate}
\item delete the edge $xy$ from $G_1$;
\item split some vertex $z$ of $G_2$ into two vertices $z_1$ and $z_2$ of positive degree;
\item identify $x$ with $z_1$ and identify $y$ with $z_2$.
\end{enumerate}

We say that $G_1$ is the \emph{edge-side} and $G_2$ the \emph{split-side} of the composition. Furthermore, we say that $xy$ is the \emph{replaced edge} of $G_1$ and that $z$ is the \emph{split vertex} of $G_2$. Finally we say that $G$ is a \emph{$k$-Ore graph} if it can be obtained from copies of $K_k$ and repeated Ore-compositions.","1409.5116#1409.5116.tex","definition + \emph{}","An Ore-composition of graphs G_1 and G_2 is a graph obtained as follows:


  * delete the edge xy from G_1;

  * split some vertex z of G_2 into two vertices z_1 and z_2 of positive degree;

  * identify x with z_1 and identify y with z_2.


We say that G_1 is the edge-side and G_2 the split-side of the composition. Furthermore, we say that xy is the replaced edge of G_1 and that z is the split vertex of G_2. Finally we say that G is a k-Ore graph if it can be obtained from copies of K_k and repeated Ore-compositions.","Ore-composition;edge-side;split-side;replaced edge;split vertex;k-Ore graph"
"Orientation","Suppose $\S$ is hierarchical. Let $H$ be its $H$-matrix. An orientation $\tau$ is a map from row vectors of $H$ to $\{ \pm 1\}$, such that $\tau(v) = -\tau(-v)$. Given an orientation $\tau$, let $H^\tau_+ = \{v: \tau(v) = +1\}$. Say that $\S$ is positive with orientation $\tau$ if for each $v \in H^\tau_+$ and $S \in \S$, $\face_{-v}(S)$ is not a proper face of $S$.","1707.03332#arxiv.tex","definition[]","Suppose  is hierarchical. Let H be its H-matrix. An orientation τ is a map from row vectors of H to {± 1}, such that τ(v) = -τ(-v). Given an orientation τ, let H^τ_+ = {v: τ(v) = +1}. Say that  is positive with orientation τ if for each v ∈ H^τ_+ and S ∈, _-v(S) is not a proper face of S.","Orientation"
"Orientation","Given a hypergraph $G$ an {\sl orientation} $(\mathfrak{a},\mathfrak{b})$ of a hyperedge $U\in G$ is a choice of two nonempty subsets $\mathfrak{a},\mathfrak{b}$ of $U$ such that $U=\mathfrak{a}\cup\mathfrak{b}$ and $\mathfrak{a}\cap\mathfrak{b}=\emptyset$. We can think of the orientation of a hyperegde $U$ as current or flow on $U$ from a single vertex of $\mathfrak{a}$ to the vertices in $\mathfrak{b}$ in which case we say that $\mathfrak{a}$ is the {\sl head} of the orientation $\mathfrak{a}\rightarrow\mathfrak{b}$ of $U$. 
 If $|U|=n$, then there are a total of $2^{n}-2$ possible orientations. An  {\sl orientation of $G$} is an orientation of all its hyperedges. Given an orientation ${\mathcal O}$  on $G$, we say that $(\mathfrak{a},\mathfrak{b})\in{\mathcal O}$ if it is the orientation of a hyperedge $U$ in $G$.","1611.01657#AntipodeLinHopfMono.tex","definition[]","Given a hypergraph G an orientation (𝔞,𝔟) of a hyperedge U∈ G is a choice of two nonempty subsets 𝔞,𝔟 of U such that U=𝔞∪𝔟 and 𝔞∩𝔟=∅. We can think of the orientation of a hyperegde U as current or flow on U from a single vertex of 𝔞 to the vertices in 𝔟 in which case we say that 𝔞 is the head of the orientation 𝔞→𝔟 of U. 
 If |U|=n, then there are a total of 2^n-2 possible orientations. An  orientation of G is an orientation of all its hyperedges. Given an orientation 𝒪  on G, we say that (𝔞,𝔟)∈𝒪 if it is the orientation of a hyperedge U in G.","Orientation"
"Orientation","Given a hypergraph $G$ an \emph{orientation} $(\mathfrak{a},\mathfrak{b})$ of a hyperedge $U\in G$ is an ordered set partition $(\mathfrak{a},\mathfrak{b})$ of $U$. %such that $U=\mathfrak{a}\cup\mathfrak{b}$ and $\mathfrak{a}\cap\mathfrak{b}=\emptyset$.
We can think of the orientation $(\mathfrak{a},\mathfrak{b})$ as current or flow on $U$ from a single vertex $\mathfrak{a}$ to the vertices in $\mathfrak{b}$ in which case we say that $\mathfrak{a}$ is the \emph{head} of the orientation $\mathfrak{a}\rightarrow\mathfrak{b}$ of $U$.
It what follows we will want to think of the vertices in $\mathfrak{a}$ as being contracted to a single point while the vertices in $\mathfrak{b}$ remain as distinct points.
If $|U|=n$, then there are a total of $2^{n}-2$ possible orientations. An  \emph{orientation of $G$} is an orientation of all its hyperedges. Given an orientation ${\mathcal O}$  on $G$, we say that $(\mathfrak{a},\mathfrak{b})\in{\mathcal O}$ if $(\mathfrak{a},\mathfrak{b})$ is the orientation of a hyperedge $U$ in $G$.","1712.08848#HyperAntipode_REVISED.tex","definition[]","Given a hypergraph G an orientation (𝔞,𝔟) of a hyperedge U∈ G is an ordered set partition (𝔞,𝔟) of U. 
We can think of the orientation (𝔞,𝔟) as current or flow on U from a single vertex 𝔞 to the vertices in 𝔟 in which case we say that 𝔞 is the head of the orientation 𝔞→𝔟 of U.
It what follows we will want to think of the vertices in 𝔞 as being contracted to a single point while the vertices in 𝔟 remain as distinct points.
If |U|=n, then there are a total of 2^n-2 possible orientations. An  orientation of G is an orientation of all its hyperedges. Given an orientation 𝒪  on G, we say that (𝔞,𝔟)∈𝒪 if (𝔞,𝔟) is the orientation of a hyperedge U in G.","Orientation"
"PPP","\label{def:PPP}

A \emph{periodic parallelogram polyomino} is a $PP$ with an admissible marked
cell in the first column. A cell is called admissible if its height is less or
equal to the size of the last column.","1611.03766#periodic_parallelogram_polyominoes.tex","definition[]","

A periodic parallelogram polyomino is a PP with an admissible marked
cell in the first column. A cell is called admissible if its height is less or
equal to the size of the last column.","PPP"
"PPP","A \emph{periodic parallelogram polyomino} is a parallelogram polyomino $P$
    with a positive integer $g$ called the \emph{gluing size} , such that $g$ is
    smaller or equal to the minimum of the heights of the first and last column
    of $P$. Moreover, in the rest of the article we consider PPP's which are
    not of rectangular shape with gluing size equal to the size of the columns.","1612.03759#PPP_fpsac_2017.tex","definition[]","A periodic parallelogram polyomino is a parallelogram polyomino P
    with a positive integer g called the gluing size , such that g is
    smaller or equal to the minimum of the heights of the first and last column
    of P. Moreover, in the rest of the article we consider PPP's which are
    not of rectangular shape with gluing size equal to the size of the columns.","PPP"
"Parikh matrix mapping;Parikh matrices","%\cite{MSSY01}
Suppose $\Sigma=\{a_1<a_2< \dotsb<a_s\}$ is an ordered alphabet, where $s\ge 2$. The \emph{Parikh matrix mapping} with respect to $\Sigma$, denoted by $\Psi_{\Sigma}$, is the morphism
$$\Psi_{\Sigma}: \Sigma^*\rightarrow \mathcal{M}_{s+1}$$
defined as follows: $\Psi_{\Sigma}(\lambda)=I_{s+1}$; if  $\Psi_{\Sigma}(a_q)=M$, then $M_{i,i}=1$ for each $1\leq i\leq s+1$, $M_{q,q+1}=1$ and all other entries of the matrix $\Psi_{\Sigma}(a_q)$ are zero. Matrices of the form  $\Psi_{\Sigma}(w)$ for $w\in \Sigma^*$ are called \emph{Parikh matrices} . We denote by $\mathcal{P}_{\Sigma}$ the set of all Parikh matrices with respect to $\Sigma$ and let $\mathcal{P}_{\Sigma}^+=\mathcal{P}_{\Sigma}\backslash\{I_{s+1}\}$.","1808.04102#1808.04102.tex","definition + \emph{}","
Suppose Σ={a_1<a_2< …<a_s} is an ordered alphabet, where s≥ 2. The Parikh matrix mapping with respect to Σ, denoted by Ψ_Σ, is the morphism

    Ψ_Σ: Σ^*→ℳ_s+1

defined as follows: Ψ_Σ(λ)=I_s+1; if  Ψ_Σ(a_q)=M, then M_i,i=1 for each 1≤ i≤ s+1, M_q,q+1=1 and all other entries of the matrix Ψ_Σ(a_q) are zero. Matrices of the form  Ψ_Σ(w) for w∈Σ^* are called Parikh matrices . We denote by 𝒫_Σ the set of all Parikh matrices with respect to Σ and let 𝒫_Σ^+=𝒫_Σ\{I_s+1}.","Parikh matrix mapping;Parikh matrices"
