term,def,file_name,extraction_rule,plain_text_def,plain_text_term,mentioned_proofwiki_terms
coloring complex,"The \emph{coloring complex} of $G$, denoted $\Delta(G)$, is the simplicial complex defined by the sequence:

\begin{center}
$...\rightarrow C_{r} \stackrel{\delta_{r}}{\rightarrow} C_{r-1}
\stackrel{\delta_{r-1}}{\rightarrow} ...
\stackrel{\delta_1}{\rightarrow} C_{0}
\stackrel{\delta_0}{\rightarrow} C_{-1}
\stackrel{\delta_{-1}}{\rightarrow} 0$
\end{center}

where $C_{r}$ is the vector space over a field of characteristic
zero with basis $\Delta_{r}(G)$ and

\begin{center}
$\partial_r( (B_{1},...,B_{r+2}) ) := \displaystyle
\sum_{i=1}^{r+1} (-1)^i ( B_1,...,B_{i} \bigcup B_{i+1},...,
B_{r+2} ) $.
\end{center}",1008.5130#1008.5130.tex,definition + \emph{},"The coloring complex of G, denoted Δ(G), is the simplicial complex defined by the sequence:



...→ C_rδ_r→ C_r-1δ_r-1→ ...
δ_1→ C_0δ_0→ C_-1δ_-1→ 0



where C_r is the vector space over a field of characteristic
zero with basis Δ_r(G) and



∂_r( (B_1,...,B_r+2) ) := ∑_i=1^r+1 (-1)^i ( B_1,...,B_i⋃ B_i+1,...,
B_r+2 ).

",coloring complex,['Complex']
combinatorial dimension,"The size of a largest basis of an LP-type problem is called its \emph{combinatorial dimension} 
and denoted by $\delta$.",1508.07606#secondsubmissionmrc-23-01-2016.tex,definition + \emph{},"The size of a largest basis of an LP-type problem is called its combinatorial dimension 
and denoted by δ.",combinatorial dimension,['Dimension']
combinatorial dimension,"[Combinatorial dimension] The \emph{combinatorial dimension} of a subspace $W$ in $\R^n$, denoted by $d_{\pm}(W)$, is defined to be smallest real number such that 
$$\left|W \cap \{\pm 1\}^{n}\right| \leq 2^{d_{\pm}(W)}.$$",1808.07222#main.tex,definition + \emph{},"[Combinatorial dimension] The combinatorial dimension of a subspace W in ^n, denoted by d_±(W), is defined to be smallest real number such that 

    |W ∩{± 1}^n| ≤ 2^d_±(W).
",combinatorial dimension,['Dimension']
combinatorial dimension,"\label{definition combinatorial dimension} 
Let $\MC D := 
%\{d_{\pm} \in \fraction{1}{n}\cdot \Z: 0 \le d_{\pm} \le n\}$.  
\lt\{ \frac a n: 0 \le a \le n^2, a\in \bb Z\rt\}$.
For any $d_{\pm} \in \MC D$ such that $\dpm \ge
\frac1n$, we define the
\emphasis{combinatorial Grassmannian} $\Gr(\dpm)$ to be the set of all
non-trivial hyperplanes $V$ in $\lt(\Zmodp\rt)^n$ such that 
\begin{equation}\label{combinatorial dimension}
p^{n-\dpm+1/n} < \maximum_{1\le i\le n} \probability(X_i\in V)
\le p^{n-\dpm}.
\end{equation}
For $\dpm = 0$, we define  $\Gr(0)$ to be the set of all
non-trivial hyperplanes such that
\begin{equation*}
\maximum_{1\le i\le n} \probability(X_i\in V) \le p^n.
\end{equation*}
We will refer to $\dpm$ as the \emphasis{combinatorial
dimension} of $V$.",0905.0461#RandMatrix.tex,definition[]," 
Let D := 

{a/n: 0 ≤ a ≤ n^2, a∈ Z}.
For any d_±∈ D such that ≥1/n, we define the
combinatorial Grassmannian () to be the set of all
non-trivial hyperplanes V in ()^n such that 

    p^n-+1/n < _1≤ i≤ n(X_i∈ V)
    ≤ p^n-.

For = 0, we define  (0) to be the set of all
non-trivial hyperplanes such that

    _1≤ i≤ n(X_i∈ V) ≤ p^n.

We will refer to  as the combinatorial
dimension of V.",combinatorial dimension,['Dimension']
common interlacing,"[Theorem 4.4 in \cite{MSS13}]\label{common-interlacing-implies-good-signing}
Fix $b:E\to\{0,1\}$ and $t\in\C$. Suppose that for every $k=0,1,\ldots,m-1$ and every $s_1,\ldots, s_k\in \H$, the polynomials
\[
\left(f_{s_1,\ldots,s_k,s_{k+1}=r}^{(b,t)}(x)\right)_{r\in \H}
\]
have positive leading coefficients, are real-rooted and have a \emph{common interlacing} . Then, there exists $s_1,\ldots, s_m\in \H$ such that the largest root of $f_{s_1,\ldots, s_m}^{(b,t)}(x)$ is at most the largest root of $f_{\emptyset}^{(b,t)}(x)$.",1502.07410#shift-4-lifts-arxiv.tex,theorem + \emph{},"[Theorem 4.4 in <cit.>]
Fix b:E→{0,1} and t∈. Suppose that for every k=0,1,…,m-1 and every s_1,…, s_k∈$̋, the polynomials

    (f_s_1,…,s_k,s_k+1=r^(b,t)(x))_r∈

have positive leading coefficients, are real-rooted and have a common interlacing . Then, there existss_1,…, s_m∈$̋ such that the largest root of f_s_1,…, s_m^(b,t)(x) is at most the largest root of f_∅^(b,t)(x).",common interlacing,['Common']
common interlacing,We say that a family of polynomials $\calF$ has a \emph{common interlacing} if there is some polynomial $r$ that interlaces every polynomial in $\calF$.,1904.03500#main.tex,definition + \emph{},We say that a family of polynomials  has a common interlacing if there is some polynomial r that interlaces every polynomial in .,common interlacing,['Common']
compact,A graph $X$ is said to be  {\emph{compact}} if every doubly stochastic matrix which commutes with $A(X)$ is a convex combination of matrices from $\text{Aut}(X)$.,1106.4745#1106.4745.tex,definition + \emph{},A graph X is said to be  compact if every doubly stochastic matrix which commutes with A(X) is a convex combination of matrices from Aut(X).,compact,['Compact']
compact,"A configuration $f$ is called \emph{compact} if any two of the first $n-1$ entries differ by at most $n$, that is:
$\max_{1\leq i,j \leq n-1}|f_i-f_j|\leq n.$",1308.5325#1308.5325.tex,definition + \emph{},"A configuration f is called compact if any two of the first n-1 entries differ by at most n, that is:
max_1≤ i,j ≤ n-1|f_i-f_j|≤ n.",compact,['Compact']
compact,"\label{def:colourcompact}
%For a positive integer $k$, 
A  weakly chordal graph $G$ is said to be \emph{compact} if every subgraph $H$ of $G$ either
\begin{itemize}
\item[(i)]  is a complete graph,  or 
\item[(ii)] contains a 2-pair $\{x, y\}$ such that $N_H(x) \subseteq N_H(y)$, or
\item[(iii)] contains a 2-pair $\{x, y\}$ such that $C_x \cup S(x, y)$ induces a clique on at most three vertices.    
\end{itemize}",1902.08071#weaklychordal.tex,definition + \emph{},"

A  weakly chordal graph G is said to be compact if every subgraph H of G either


  (i)  is a complete graph,  or 

  (ii) contains a 2-pair {x, y} such that N_H(x) ⊆ N_H(y), or

  (iii) contains a 2-pair {x, y} such that C_x ∪ S(x, y) induces a clique on at most three vertices.    
",compact,['Compact']
compact,"A RTC $(A,B)$ is \textit{compact} if $A \oplus_N B = A\oplus B = \llbracket 0,N-1 \rrbracket$ exactly, without need of projection in $\mathbb{Z}_N$.",1505.06930#VuzapHCreview3.tex,definition + \textit{},"A RTC (A,B) is compact if A ⊕_N B = A⊕ B =  0,N-1 exactly, without need of projection in ℤ_N.",compact,['Compact']
compact set,"A finite set of integers $A$ is a $2t+2$-\emph{compact set} if and only if the following conditions hold:
\begin{itemize}\itemsep-4pt
\item[(i)] $-1,-2, \ldots, -2t-1$ belong to $A$;
\item[(ii)] for all $a \in A$ such that $a \neq -1,-2, \ldots, -2t-1$, we have $a \geq 1$ and $a \not\equiv 0~\mbox{mod~} 2t+2$;
\item[(iii)] let $b>a \geq 1$ be two integers such that $a \equiv b$ mod $2t+2$. If $b \in A$, then $a \in A$.
\end{itemize}",1505.01324#A_Nekrasov-Okounkov_type_formula_for_C_revised.tex,definition + \emph{},"A finite set of integers A is a 2t+2-compact set if and only if the following conditions hold:
-4pt

  (i) -1,-2, …, -2t-1 belong to A;

  (ii) for all a ∈ A such that a ≠ -1,-2, …, -2t-1, we have a ≥ 1 and a ≢0  2t+2;

  (iii) let b>a ≥ 1 be two integers such that a ≡ b mod 2t+2. If b ∈ A, then a ∈ A.
",compact set,['Compact']
compact set,"A finite set of integers $A$ is a $2t+2$-\emph{compact set} if and only if the following conditions hold:
\begin{itemize}
\item[(i)] $-1,-2, \ldots, -2t-1$ belong to $A$;
\item[(ii)] for all $a \in A$ such that $a \neq -1,-2, \ldots, -2t-1$, we have $a \geq 1$ and $a \not\equiv 0~\mbox{mod~} 2t+2$;
\item[(iii)] let $b>a \geq 1$ be two integers such that $a \equiv b$ mod $2t+2$. If $b \in A$, then $a \in A$.
\end{itemize}",1505.01295#A_Nekrasov-Okounkov_type_formula_for_C.tex,definition + \emph{},"A finite set of integers A is a 2t+2-compact set if and only if the following conditions hold:


  (i) -1,-2, …, -2t-1 belong to A;

  (ii) for all a ∈ A such that a ≠ -1,-2, …, -2t-1, we have a ≥ 1 and a ≢0  2t+2;

  (iii) let b>a ≥ 1 be two integers such that a ≡ b mod 2t+2. If b ∈ A, then a ∈ A.
",compact set,['Compact']
compact set,"A finite set of integers $A$ is a $2t$-\emph{compact set} if and only if the following conditions hold:
\begin{itemize}
\item[(i)] $-1,-2, \ldots, -2t+1$ belong to $A$;
\item[(ii)] for all $a \in A$ such that $a \neq -1,-2, \ldots, -2t+1$, we have $a \geq 1$ and $a \not\equiv 0~\mbox{mod~} 2t$;
\item[(iii)] let $b>a \geq 1$ be two integers such that $a \equiv b$ mod $2t$. If $b \in A$, then $a \in A$.
\end{itemize}",1612.03771#extensions_of_character_formulas.tex,definition + \emph{},"A finite set of integers A is a 2t-compact set if and only if the following conditions hold:


  (i) -1,-2, …, -2t+1 belong to A;

  (ii) for all a ∈ A such that a ≠ -1,-2, …, -2t+1, we have a ≥ 1 and a ≢0  2t;

  (iii) let b>a ≥ 1 be two integers such that a ≡ b mod 2t. If b ∈ A, then a ∈ A.
",compact set,['Compact']
compatible,"\label{dfn:ordered_set-partition}
Let $\rho$ be a permutation of size $K$ and $\pi_1,\cdots,\pi_r$ be permutations such that $\sum_{i=1}^r |\pi_i| = K$.
An ordered set-partition $(I_i)_{1 \leq i \leq r}$ of $\{1, \dots K\}$ is \emph{compatible} with $\rho, \pi_1,\cdots,\pi_r$
if for all $i$, $\pat_{I_i}(\rho) = \pi_i$.

Let $d_{\pi_1,\ldots,\pi_r}^\rho$ be the number of ordered set-partitions compatible with $\rho, \pi_1,\cdots,\pi_r$.
We denote by
$$
c_{\pi_1,\ldots,\pi_r}^\rho = \frac{d_{\pi_1,\ldots,\pi_r}^\rho}{\binom{K}{|\pi_1|,\ldots,|\pi_r|}}
$$
the proportion of ordered set-partitions of $\{1, \dots K\}$ which are compatible with $\rho, \pi_1,\cdots,\pi_r$.",1602.04960#BrownianPermutation.tex,definition + \emph{},"
Let ρ be a permutation of size K and π_1,⋯,π_r be permutations such that ∑_i=1^r |π_i| = K.
An ordered set-partition (I_i)_1 ≤ i ≤ r of {1, … K} is compatible with ρ, π_1,⋯,π_r
if for all i, _I_i(ρ) = π_i.

Let d_π_1,…,π_r^ρ be the number of ordered set-partitions compatible with ρ, π_1,⋯,π_r.
We denote by

    c_π_1,…,π_r^ρ = d_π_1,…,π_r^ρ/K|π_1|,…,|π_r|

the proportion of ordered set-partitions of {1, … K} which are compatible with ρ, π_1,⋯,π_r.",compatible,['Compatible']
compatible,"For $\gL=\{\gl_1,\dots ,\gl_r\}$ and $\gG=\{\gg_1,\dots, \gg_s\}$ with $\gl_i$ and $\gg_j$ subsets of $\Z_{>0}$ we say that $\gL$ and $\gG$ are \emph{compatible} if either one of sets $\gL$ or $\gG$ is empty or both $r=s$ and $$\left[ \cup\gL\right] \cap \left[ \cup\gG\right]=\emptyset.$$ If $\gL$ and $\gG$ are compatible we define $$\gL \biguplus \gG=\{\gl_1 \cup \gg_1,\dots,\gl_r\cup\gg_r\}.$$",1211.5678#arrlimits.tex,definition + \emph{},"For ={_1,… ,_r} and ={≫_1,…, ≫_s} with _i and ≫_j subsets of _>0 we say that  and  are compatible if either one of sets  or  is empty or both r=s and 
    [ ∪] ∩[ ∪]=∅.
 If  and  are compatible we define 
    ={_1 ∪≫_1,…,_r∪≫_r}.
",compatible,['Compatible']
compatible,"Let $S_1, \ldots, S_m$ be finite sets. A family, $$\FF=\{f(\ss;t)\}_{\ss \in S_1 \times \cdots \times S_m} \subset \RR[t],$$ of polynomials  is called \emph{compatible}  if 
\begin{itemize}
\item all non-zero members of $\FF$ have the same degree and the same signs of their leading coefficients, and 
\item for all choices of independent random variables 
$\XR_1 \in S_1, \ldots, \XR_m \in S_m$, the polynomial 
$
\EE f(\XR_1,\ldots, \XR_n;t) 
$
is real-rooted. 
\end{itemize}",1809.03255#1809.03255.tex,definition + \emph{},"Let S_1, …, S_m be finite sets. A family, 
    ={f(ß;t)}_ß∈ S_1 ×⋯× S_m⊂[t],
 of polynomials  is called compatible  if 


  * all non-zero members of  have the same degree and the same signs of their leading coefficients, and 

  * for all choices of independent random variables 
_1 ∈ S_1, …, _m ∈ S_m, the polynomial 
f(_1,…, _n;t)
is real-rooted. 
",compatible,['Compatible']
compatible,"[$\gamma$-compatible pair of matchings]
Assume that the tagged triangulation $T$ does not contain either $\zg$, $\zg^{(p)}$, or $\zg^{(q)}$.  Let $P_p$ and $P_q$ be $\gamma$-symmetric matchings of  $G_{T^\circ,\zLp}$ and $G_{T^\circ,\zLq}$, respectively.  By Lemma \ref{twoends}, without loss of generality, $P_p|_{G_{T^\circ,\zg_p,1}}$ and
$P_q|_{G_{T^\circ,\zg_q,1}}$ are perfect matchings.  We say that $(P_p,P_q)$ is a $\zg$-\emph{compatible} pair if the restrictions satisfy $$P_p|_{G_{T^\circ,\gamma_p,1}}
\cong P_q|_{G_{T^\circ,\gamma_q,1}}.$$",0906.0748#MSW-Arxiv-June3.tex,definition + \emph{},"[γ-compatible pair of matchings]
Assume that the tagged triangulation T does not contain either , ^(p), or ^(q).  Let P_p and P_q be γ-symmetric matchings of  G_T^∘, and G_T^∘,, respectively.  By Lemma <ref>, without loss of generality, P_p|_G_T^∘,_p,1 and
P_q|_G_T^∘,_q,1 are perfect matchings.  We say that (P_p,P_q) is a -compatible pair if the restrictions satisfy 
    P_p|_G_T^∘,γ_p,1≅ P_q|_G_T^∘,γ_q,1.
",compatible,['Compatible']
compatible,"[Cluster complex of type $A_n$]
Two roots $\alpha$ and $\beta$ in $\Phi_{\geq -1}$ are \textit{compatible} if 
their corresponding diagonals do not cross. The \emph{cluster complex} $\Delta (\Phi)$ of type $A_n$ is the clique complex of the compatibility relation on $\Phi_{\geq -1}$, i.e., the complex whose simplices correspond to the sets of almost positive roots that are pairwise compatible. Maximal simplices of $\Delta (\Phi)$ are called \emph{clusters} .",1006.3487#associahedra07.tex,definition + \textit{},"[Cluster complex of type A_n]
Two roots α and β in Φ_≥ -1 are compatible if 
their corresponding diagonals do not cross. The cluster complex Δ (Φ) of type A_n is the clique complex of the compatibility relation on Φ_≥ -1, i.e., the complex whose simplices correspond to the sets of almost positive roots that are pairwise compatible. Maximal simplices of Δ (Φ) are called clusters .",compatible,['Compatible']
compatible,\label{Def:Comp} We say numerical values $\{x_i\in \bR_{>0}  \mid i\in\bN\}$ are \emph{compatible} with a fan triangulation $T=\{\gamma_i\mid i\in\bN\}$ of an infinite surface $\cals$ if compatibility conditions hold for every almost elementary domain in $T$.,1704.01826#infinite_arxiv_submission_11Dec2018.tex,definition + \emph{}, We say numerical values {x_i∈_>0| i∈} are compatible with a fan triangulation T={γ_i| i∈} of an infinite surface  if compatibility conditions hold for every almost elementary domain in T.,compatible,['Compatible']
compatible,"\label{polyclass:def:pegpattern}
        Let $\tro = \tro_1 \tro_2 \dots \tro_n$ and $\ttau = \ttau_1 \ttau_2 \dots
        \ttau_k$ be peg permutations. Say that $\ttau$ is contained within $\tro$ if
        there is a subsequence $\tro_{i_1} \tro_{i_2} \dots \tro_{i_k}$, whose
        entries lie in the same relative order as those of $\ttau$ and whose
        decorations are \emph{compatible} , meaning that $\tro_{i_j}$ either have
        the same decoration or $\ttau_j$ is decorated with a dot.",1410.2657#diss.tex,definition + \emph{},"
        Let = _1 _2 …_n and = _1 _2 …_k be peg permutations. Say that  is contained within  if
        there is a subsequence _i_1_i_2…_i_k, whose
        entries lie in the same relative order as those of  and whose
        decorations are compatible , meaning that _i_j either have
        the same decoration or _j is decorated with a dot.",compatible,['Compatible']
compatible,"\label{def:conditions}
  Let $(G,f_E)$ be an e-labeled graph. We say that $(G,f_E)$ is
  \emph{compatible} if the following conditions hold
  \begin{itemize}
  \item $d$ is odd and $(G,f_E)$ has the even cycle property.
  \item $d$ is even and $(G,f_E)$ has both the even and the odd cycle
    properties.
  \end{itemize}",0904.2600#additive.tex,definition + \emph{},"
  Let (G,f_E) be an e-labeled graph. We say that (G,f_E) is
  compatible if the following conditions hold
  
  
  * d is odd and (G,f_E) has the even cycle property.
  
  * d is even and (G,f_E) has both the even and the odd cycle
    properties.
  ",compatible,['Compatible']
compatible,"Given a graph $H_{S}$ for each $ S \in \pi$, $s_{\pi(T)}(G')$ is the number of ways $G'$ may be split into $\{ H_{S} \}_{ S \in \pi(T)}$.  If there exists some $\{H_{S}\}_{S \in \pi}$ such that $s_{\pi([k])}(G') \neq 0$, say that $G'$ is \emph{compatible} with $\pi$.",1211.2243#1211.2243.tex,definition + \emph{},"Given a graph H_S for each S ∈π, s_π(T)(G') is the number of ways G' may be split into { H_S}_ S ∈π(T).  If there exists some {H_S}_S ∈π such that s_π([k])(G') ≠ 0, say that G' is compatible with π.",compatible,['Compatible']
compatible,"\label{definition:interchange}
Let $A = \begin{pmatrix}
A^+ \\ A^-
\end{pmatrix}$ and $B = \begin{pmatrix}
B^+ \\ B^-
\end{pmatrix}$ be two binary matrices with the same even number of rows.
We say that the matrix $\bigl(\begin{smallmatrix}
1 & 0 \\ 0 & 1
\end{smallmatrix}\bigr)$ is a \emph{compatible} submatrix of $\bigl(\begin{array}{c|c}A & B\end{array}\bigr)$  if there exist $\ell, k, k'$ such that
\begin{align*}
A^+_{\ell k} &= 1, & B^+_{\ell k'} &= 0,
\\
A^-_{\ell k} &= 0, & B^-_{\ell k'} &= 1.
\end{align*}
In that case, we will write $A \compat_{\ell, k, k'} B$. We denote by $\gamma_{\ell, k, k'}(A, B) \coloneqq \bigl(\gamma_{\ell, k}^\pm(A), \gamma^\pm_{\ell, k'}(B)\bigr)$ the pair of binary matrices that we obtain if we replace the submatrix $\bigl(\begin{smallmatrix}
1 & 0 \\ 0 & 1
\end{smallmatrix}\bigr)$ by $\bigl(\begin{smallmatrix}
0 & 1 \\ 1 & 0
\end{smallmatrix}\bigr)$.",1711.10347#1711.10347.tex,definition + \emph{},"
Let A = [ A^+; A^- ] and B = [ B^+; B^- ] be two binary matrices with the same even number of rows.
We say that the matrix ([ 1 0; 0 1 ]) is a compatible submatrix of ([ A B ])  if there exist ℓ, k, k' such that

    A^+_ℓ k   = 1,     B^+_ℓ k'   = 0,
    
    
    A^-_ℓ k   = 0,     B^-_ℓ k'   = 1.

In that case, we will write A _ℓ, k, k' B. We denote by γ_ℓ, k, k'(A, B) (γ_ℓ, k^±(A), γ^±_ℓ, k'(B)) the pair of binary matrices that we obtain if we replace the submatrix ([ 1 0; 0 1 ]) by ([ 0 1; 1 0 ]).",compatible,['Compatible']
compatible,"\label{df:compatible} Let $r$ be a positive integer.
For $S_1\subseteq \mathcal{D}_1$, $S_2\subseteq \mathcal{D}_2$, we say that the pair $(S_1,S_2)$ is $r$-\emph{compatible} if for every $u\in S_1$ and $v\in S_2$, denoting by $E$ the left endpoint of $u$ and $F$ the upper endpoint of $v$, there exists a lattice point $A\in EF^\circ$ such that
\begin{equation}
\label{0407df:comp}
|(AF)_1|=r|(AF)_2\cap S_2|\textrm{\; or\; }|(EA)_2|=r|(EA)_1\cap S_1|.\end{equation}",1306.2415#1306.2415.tex,definition + \emph{}," Let r be a positive integer.
For S_1⊆𝒟_1, S_2⊆𝒟_2, we say that the pair (S_1,S_2) is r-compatible if for every u∈ S_1 and v∈ S_2, denoting by E the left endpoint of u and F the upper endpoint of v, there exists a lattice point A∈ EF^∘ such that

    |(AF)_1|=r|(AF)_2∩ S_2|  or |(EA)_2|=r|(EA)_1∩ S_1|.
",compatible,['Compatible']
compatible,"\label{dfn:compatible}
 Let $\TPTiling_i,\TPTiling_{i+1}$ be any two triangulated plabic tilings of levels $i$ and $i+1$ respectively. We say that the triangulated plabic tilings $\TPTiling_i,\TPTiling_{i+1}$ are \emph{compatible} if 
\begin{itemize}
 \item for every edge $(\v_S,\v_T)$ of $\TPTiling_i$, $\v_{S\cup T}$ is a vertex of $\TPTiling_{i+1}$;
 \item for every edge $(\v_S,\v_T)$ of $\TPTiling_{i+1}$, $\v_{S\cap T}$ is a vertex of $\TPTiling_i$.
\end{itemize}",1611.00492#chord_separation.tex,definition + \emph{},"
 Let _i,_i+1 be any two triangulated plabic tilings of levels i and i+1 respectively. We say that the triangulated plabic tilings _i,_i+1 are compatible if 

 
  * for every edge (_̌S,_̌T) of _i, _̌S∪ T is a vertex of _i+1;
 
  * for every edge (_̌S,_̌T) of _i+1, _̌S∩ T is a vertex of _i.
",compatible,['Compatible']
compatible,"[Cluster complex of type $A_n$]
Identify the negative simple roots $-\alpha_i$
with the diagonals on the \emph{snake} of $P_{n+3}$ 
illustrated in Figure~\ref{snake}. 
Each positive root is a consecutive sum
\[
\alpha_{ij}=\alpha_i+\alpha_{i+1}+\dots + \alpha_j, \hspace{1cm} 1\leq i \leq j \leq n,
\]
and thus can be identified with the unique diagonal of 
$P_{n+3}$ crossing the (consecutive) diagonals 
that correspond to $-\alpha_i, -\alpha_{i+1}, \dots, -\alpha_{j}$, and no others.
%
Two roots $\alpha$ and $\beta$ in 
$\Phi_{\geq -1}$ are called \textit{compatible} if 
their corresponding diagonals do not cross. 
The \emph{cluster complex} $\Delta (\Phi)$ of type $A_n$ 
is the clique complex of the compatibility relation on $\Phi_{\geq -1}$, 
i.e., the complex whose simplices correspond to 
the sets of almost positive roots that are pairwise compatible. 
Maximal simplices of $\Delta (\Phi)$ are called \emph{clusters} .",1109.5544#CSZassociahedra_submission_revised.tex,definition + \textit{},"[Cluster complex of type A_n]
Identify the negative simple roots -α_i
with the diagonals on the snake of P_n+3 
illustrated in Figure <ref>. 
Each positive root is a consecutive sum

    α_ij=α_i+α_i+1+… + α_j,  1≤ i ≤ j ≤ n,

and thus can be identified with the unique diagonal of 
P_n+3 crossing the (consecutive) diagonals 
that correspond to -α_i, -α_i+1, …, -α_j, and no others.

Two roots α and β in 
Φ_≥ -1 are called compatible if 
their corresponding diagonals do not cross. 
The cluster complex Δ (Φ) of type A_n 
is the clique complex of the compatibility relation on Φ_≥ -1, 
i.e., the complex whose simplices correspond to 
the sets of almost positive roots that are pairwise compatible. 
Maximal simplices of Δ (Φ) are called clusters .",compatible,['Compatible']
compatible;compatible,"[Compatibility of combinatorial and numerical data] We say that $\cald$  
is \emph{compatible} with $\calf$ (resp.  $\overline{\cald}$ is \emph{compatible} with $\overline{\calf}$) if there is an admissible hyperbolic surface $\cals$ with converging horocycles triangulated according to $\calf$ (resp. $\overline{\calf}$) 
 and such that the lambda lengths of the geodesic arcs in $\cals$ coincide with the numerical data given in $\cald$ (resp. $\overline{\cald}$).",1704.01826#infinite_arxiv_submission_11Dec2018.tex,definition + \emph{},"[Compatibility of combinatorial and numerical data] We say that   
is compatible with  (resp.   is compatible with ) if there is an admissible hyperbolic surface  with converging horocycles triangulated according to  (resp. ) 
 and such that the lambda lengths of the geodesic arcs in  coincide with the numerical data given in  (resp. ).",compatible;compatible,['Compatible']
compatible;compatible,"\label{dfn:compatible:intro}

We say that two forests $F,F'$ are \emph{compatible} if there does not exist a pair $M\subset F$, $M'\subset F'$ of partial matchings such that $M\neq M'$ but for all $i\in [m]$ and $\bar j\in[\bar n]$ we have $\deg_i(M)=\deg_i(M')$ and $\deg_{\bar j}(M)=\deg_{\bar j}(M')$.
% We say that two forests $F,F'$ are \emph{compatible} if there does not exist a pair $H\subset F$, $H'\subset F'$ of subgraphs such that $H\neq H'$ but for all $i\in [m]$ and $\bar j\in[\bar n]$ we have $\deg_i(H)=\deg_i(H')$ and $\deg_{\bar j}(H)=\deg_{\bar j}(H')$.",1803.06239#trianguloids.tex,definition + \emph{},"

We say that two forests F,F' are compatible if there does not exist a pair M⊂ F, M'⊂ F' of partial matchings such that M≠ M' but for all i∈ [m] and j̅∈[n̅] we have _i(M)=_i(M') and _j̅(M)=_j̅(M').
",compatible;compatible,['Compatible']
compatible;compatible,"[Compatible (sequences) (new)]
Given two sequences of orders \begin{math}\mathcal{O}_{i}, \mathcal{O}_{j}\end{math},
we say that they are \emph{compatible} if they are equal, or one is a prelude sequence of the other.
Let \begin{math}X \in \mathcal{O}_{i}, Y \in \mathcal{O}_{j}\end{math},
we say that \begin{math}X, Y\end{math} are \emph{compatible} if \begin{math}\mathcal{O}_{i}, \mathcal{O}_{j}\end{math} are compatible.",1809.00954#LL2017OrdreLexico.tex,definition + \emph{},"[Compatible (sequences) (new)]
Given two sequences of orders 𝒪_i, 𝒪_j,
we say that they are compatible if they are equal, or one is a prelude sequence of the other.
Let X ∈𝒪_i, Y ∈𝒪_j,
we say that X, Y are compatible if 𝒪_i, 𝒪_j are compatible.",compatible;compatible,['Compatible']
compatible;compatible,We say that two lines are \textit{compatible} if they intersect at exactly one point and that two sets of lines are \textit{compatible} if every line from one set is compatible with every line from the other set.,1611.00084#draft1.tex,definition + \textit{},We say that two lines are compatible if they intersect at exactly one point and that two sets of lines are compatible if every line from one set is compatible with every line from the other set.,compatible;compatible,['Compatible']
complement,"\rm{
\cite{CH} Let $G$ be a simple graph with $n$ vertices.  The \textit{complement} $\bar{G}$ of $G$ is defined 
to be the simple graph with the same vertex set as $G$ and where two vertices $u$ 
and $v$ are adjacent precisely when they are not adjacent in $G$.  Roughly speaking 
then, the complement of $G$ can be obtained from the complete graph $K_n$ by 
rubbing out all the edges of $G$. }",1506.03251#1506.03251.tex,definition + \textit{},"
<cit.> Let G be a simple graph with n vertices.  The complement G̅ of G is defined 
to be the simple graph with the same vertex set as G and where two vertices u 
and v are adjacent precisely when they are not adjacent in G.  Roughly speaking 
then, the complement of G can be obtained from the complete graph K_n by 
rubbing out all the edges of G. ",complement,['Complement']
complement,"The \emph{complement} of a graph $G = (V,E)$ is the graph $H = (V,E')$, where for all $u,v\in V$, $\{u,v\}\in E' \iff \{u,v\}\notin E$. That is, the complement of $G$ is the graph in which all vertices that were not adjacent in $G$ are now adjacent and all vertices that were adjacent in $G$ are not adjacent. See Figure \ref{fig:complement}",1312.0542#1312.0542.tex,definition + \emph{},"The complement of a graph G = (V,E) is the graph H = (V,E'), where for all u,v∈ V, {u,v}∈ E' {u,v}∉ E. That is, the complement of G is the graph in which all vertices that were not adjacent in G are now adjacent and all vertices that were adjacent in G are not adjacent. See Figure <ref>",complement,['Complement']
complete,"The \emph{complete} hypergraph on $Q^{(1)}, \ldots, Q^{(r)}$
is $(Q^{(1)}, \ldots, Q^{(r)}, \allowbreak
Q^{(1)} \times \allowbreak \ldots \allowbreak \times Q^{(r)})$.",1604.05757#paper.tex,definition + \emph{},"The complete hypergraph on Q^(1), …, Q^(r)
is (Q^(1), …, Q^(r), 
Q^(1)×…× Q^(r)).",complete,['Complete']
complete,A subquiver is \emph{complete} if it contains every arrow of $Q$ which connects two vertices in the subquiver.,1006.1076#doublearxiv.tex,definition + \emph{},A subquiver is complete if it contains every arrow of Q which connects two vertices in the subquiver.,complete,['Complete']
complete,An $\calL_{\calH}$-structure $M$ with domain $V$ is \emph{complete} if for all $A\in {V\choose r}$ there is an enumeration $\abar$ of $A$ and $R_p\in \calL_{\calH}$ such that $M\models R_p(\abar)$.,1607.04902#TerryHPLS7-18.tex,definition + \emph{},An _-structure M with domain V is complete if for all A∈V r there is an enumeration  of A and R_p∈_ such that M R_p().,complete,['Complete']
