file_name,extraction_rule,plain_text_def,plain_text_term
1208.4714#orchard-new.tex,definition[],"Suppose that X ⊂∪{∞} is a set. Then we write 𝒬(X) for the set of all quotients x_1/x_2 with x_1, x_2 ∈ X and x_1, x_2 ∉{0,∞}.",Quotient set
1409.3555#partitions_of_walks_on_digraphs.tex,definition[],"The set of all equivalence classes for a given dressing signature  is the quotient set of W_;αω by , denoted by W_;αω  /:

    W_;αω  /  = {[w]_ : w ∈ W_;αω}
",Quotient set
1611.06312#hales-jewett-gowers44.tex,definition + \emph{},"Suppose that α is an action of T
on an filtered semigroup ( S,+,𝔉) given by a
semigroup ℱ_α⊂End( S,+,𝔉
). We say that α is Ramsey if, for any τ∈ℱ_α, the corresponding spine f_τ:T→ T
is a regressive homomorphis, and for any C∈𝔉, for any finite
coloring c of S, and for any finite subset ℱ_0 of ℱ_α, there exists a function x:T→ S such
that, for any τ∈ℱ_0 and t∈ T, x( t) ∈
S_t∩ C and the color of τ( x( t) )
depends only on f_τ( t).",Ramsey
1511.06048#1511.06048.tex,definition + \emph{},"Suppose (A, ℱ) is an algebra.
We say that (A, ℱ) is Ramsey iff
for every a⃗∈^ωA and X ⊆ A, there exists b⃗≤_ℱa⃗ such that _ℱ(b⃗) is
either contained in or disjoint from X.",Ramsey
1511.06048#1511.06048.tex,definition + \emph{},"Suppose (A,ℱ) is an algebra and a⃗∈^ωA. We say that (A, ℱ) is Ramsey below a⃗ iff
for every b⃗≤_ℱa⃗ and  X ⊆ A, there exists c⃗≤_ℱb⃗ such that
_ℱ(c⃗) is either contained in or disjoint from X.",Ramsey below a⃗
1403.5831#1403.5831.tex,definition + \emph{},"Suppose (A,ℱ) is an algebra and a⃗ is an infinite sequence in A. We say that (A, ℱ) is Ramsey below a⃗ iff
for every b⃗≤_ℱa⃗ and  X ⊆ A, there exists c⃗≤_ℱb⃗ homogeneous for X.",Ramsey below a⃗
1208.2991#emtp_arxiv14.tex,definition + \emph{}," Let  be a class of finite L'-structures, for some language L'.  is a Ramsey class if for any A, B ∈  and positive integer k, there is a C in  such that C → (B)^A_k.",Ramsey class
1710.04690#conantmetric-arxiv5.tex,definition + \emph{},A class 𝒞 is a Ramsey class if for every two objects A and B in 𝒞 and for every positive integer k there exists a structure C in 𝒞 such that the following holds: For every partition CA into k classes there exists an B∈CB such that BA belongs to one class of the partition.,Ramsey class
1511.06048#1511.06048.tex,definition + \emph{},"Suppose ℜ= (R, ≤) is a preorder with approximations. Assume X is a subset of R. We say that X is Ramsey iff for every n
∈ω and a⃗∈ R, there exists b⃗∈ [n,a⃗] such that [n,b⃗] is either contained in or disjoint from X. Assuming
the Axiom of Choice, ℜ is a Ramsey space iff  every subset of ℜ (endowed with the natural topology) having the
property of Baire is Ramsey.",Ramsey;Ramsey space
1403.5831#1403.5831.tex,definition + \emph{},"Suppose ℜ= (R, ≤) is a preorder with approximations. Assume X is a subset of R. We say that X is Ramsey iff for every n ∈ω and a⃗∈ R, there exists b⃗∈ [n,a⃗]_ℜ such that [n,b⃗]_ℜ is either contained in or disjoint from X. Assuming the Axiom of Choice, ℜ is a Ramsey space iff every subset of ℜ (endowed with the natural topology) which has the property of Baire is Ramsey.",Ramsey;Ramsey space
1603.07815#taoziegler2016.tex,definition[]," Given a function P: G → K between additive groups G,K, as well as subgroups H_1,…,H_d of G for some non-negative integer d, we say that P has rank <(H_1,…,H_d) or rank <(H_i)_1 ≤ i ≤ d according to the following recursive definition:


  (i)  If d = 0, we say that P is of rank <() if and only if it is identically zero.

  (ii)  If d ≥ 1, we say that P is of rank <(H_1,…,H_d) if and only if, for every 1 ≤ i ≤ d and h ∈ H_i, there exists a polynomial P_h G → K of rank <(H_1,…,H_i-1,H_i+1,…,H_d) such that P(x+h) = P(x) + P_h(x) for all x ∈ G.
",Rank
1011.4600#complexityRevised.tex,definition[],"We say a set of polynomials ={P_1,…,P_t} is of rank greater than r, and denote this by () > r if the following holds. For any non-zero α=(α_1,…,α_t) ∈_p^t, define P_α(x) := ∑_j=1^t α_j P_j(x). For d := max{(P_j):α_j  0}, the polynomial P_α cannot be expressed as a function of r polynomials of degree at most d-1. More precisely, it is not possible to find r polynomials Q_1,…,Q_r of degree at most d-1, and a function Γ:_p^r →_p such that

    P_α(x)=Γ(Q_1(x),…,Q_r(x)).

The rank of a single polynomial P is defined to be ({P}).",Rank
1712.09047#1712.09047.tex,definition[],"

 
  * Let P:V → k be a polynomial of degree d. We define the rank r^d(P) as the minimal number r such that P can be written as a sum P=∑ _j=1^rQ_jR_j where Q_j,R_j are polynomials of degees <d defined over k. Often we write r(P) instead of r^d(P).

  * Let P̅={ P_i}, 1≤ i≤ c be a  family of polynomials of degree d. We define r(P̅) as the minimal d-rank of non-trivial linear combinations of P_i.

  * Given any family P̅={ P_i},1≤ i≤ c, (P_i)≥ 2 we write it as a disjoint union P̅ =⋃ _j=2^d P̅ ^j where P̅ ^j is a family of polynomials of degree j. We define r(P̅):=min _jr^j(P̅ ^j). 
",Rank
1712.01335#1712.01335.tex,definition[]," a) Let P∈ k[V^∨ ]  be a non-zero  polynomial  of degree d≥ 2. We 
define the rank r(P) of P as  the minimal number r such that it is possible to write P in the form
P = ∑ ^ r_i=1 l_iR_i, where l_i,R_i are  polynomials of positive degrees. 

b) Given a family P̅={P_i},i∈ I of  polynomials of degree ≤ d 
we define the rank of P̅ as the minimal rank of a non-zero linear combination of polynomials P_i,i∈ I.",Rank
0711.3191#0711.3191.tex,definition[],"  Let d ≥ 0, and let P: ^n → be a function.  We define the degree d rank _d(P) of P to be the least integer k ≥ 0 for which there exist polynomials Q_1,…,Q_k ∈𝒫_d(^n) and a function B: ^k → such that we have the representation P = B(Q_1,…,Q_k).  If no such k exists, we declare _d(P) to be infinite (since ^n is finite-dimensional, this only occurs when d=0 and P is non-constant).",Rank
1510.05334#quintic.tex,definition[],"
Given a polynomial P : ^n → and an integer d ≥ 1, the d-rank of
P, denoted rank_d(P), is defined to be the smallest integer
r such that there exist polynomials Q_1,…,Q_r:^n → of
degree ≤ d-1 and a function Γ: ^r → satisfying
P(x) = Γ(Q_1(x),…, Q_r(x)). If d=1, then
1-rank is defined to be ∞ if P is non-constant and 0
otherwise.

The rank of a polynomial P: ^n → is its (P)-rank. We say that P is r-regular if rank(P) ≥ r.",Rank of a polynomial
1403.7703#equidist-24-03-2014.tex,definition[],"
Given a polynomial P : ^n → and an integer d > 1, the d-rank of
P, denoted rank_d(P), is defined to be the smallest integer
r such that there exist polynomials Q_1,…,Q_r:^n → of
degree ≤ d-1 and a function Γ: ^r → satisfying
P(x) = Γ(Q_1(x),…, Q_r(x)). If d=1, then
1-rank is defined to be ∞ if P is non-constant and 0
otherwise.

The rank of a polynomial P: ^n → is its (P)-rank. We say P is r-regular if rank(P) ≥ r.",Rank of a polynomial
1308.4108#linearlimits5.tex,definition[],"Given a polynomial P : ^n → and an integer d > 1, the d-rank of
P, denoted rank_d(P), is defined to be the smallest integer
r such that there exist polynomials Q_1,…,Q_r:^n → of
degree ≤ d-1 and a function Γ: ^r → satisfying
P(x) = Γ(Q_1(x),…, Q_r(x)). If d=1, then
1-rank is defined to be ∞ if P is non-constant and 0
otherwise.

The rank of a polynomial P: ^n → is its (P)-rank.",Rank of a polynomial
0707.2522#0707.2522.tex,definition[],"Apply Lemma <ref> to the graph G=(V,E) with parameters ε and d, 
and denote the clusters of the resulting partition by V_0, V_1,…,V_ℓ, V_0 being
the exceptional cluster. We construct a new graph G_r, the reduced graph of G' in
the following way: The non-exceptional clusters of G'
are the vertices of the reduced graph (hence |V(G_r)|=ℓ). We connect two vertices of
G_r by an edge if the corresponding two clusters form an ε-regular
pair with density at least d.",Reduced graph
1512.02161#1512.02161.tex,definition[],"The reduced graph G_R=G_R(X,Y') of G(X,Y)  has color classes X and Y'={y'_1,… ,y'_d_k} and x_i is adjacent to the vertices y'_1,… ,y'_d_i, i=1,… ,k. 

We say that G is reduced if G=G_R.",Reduced graph
1904.11778#1904.11778.tex,definition[],"Apply <ref> to the graph G=(W,E) with parameters ε and d, 
and denote the clusters of the resulting partition by W_0, W_1,…, W_ℓ (W_0 being the exceptional cluster). We construct a new graph G_r, the reduced graph of G' in
the following way: The non-exceptional clusters of G'
are the vertices of the reduced graph G_r (hence v(G_r)=ℓ). We connect two vertices of
G_r by an edge if the corresponding two clusters form an ε-regular
pair with density at least d.",Reduced graph
1707.07216#1707.07216.tex,definition[],"Apply Lemma <ref> to the graph G=(V,E) with parameters ε and d 
and denote the clusters of the resulting partition by V_0,V_1,…,V_ℓ, V_0 being the exceptional cluster. We construct 
a new graph G_r, the reduced graph of G' in the following way: 
The non-exceptional clusters of G' are the vertices of the reduced graph, hence |V(G_r)|=ℓ. We connect two vertices 
of G_r by an edge if the corresponding two clusters form an ε-regular pair with density at least d.",Reduced graph
1908.04137#giove-paga-article.tex,definition[],"Let M = (E, , m) be a quasi-arithmetic matroid.
  Its reduction is the quasi-arithmetic matroid M = (E, , m) on the same groundset, with the same rank function, and with multiplicity function m is given by
  
    m(X) =  m(B) |B is a basis, and (X) = |X ∩ B| / m(B) |B is a basis.
",Reduction
1411.4561#FCInvolutions_revised.tex,definition[],"
Let w be a FC element of type A_n-1, and s_i∈ Des_R(w). Then w can be reduced to ws_i if at least one of
s_i-1,s_i+1 belongs to Des_R(ws_i). We will write
wR→ ws_i.",Reduction
1510.05334#quintic.tex,definition[],"
A collection ' of polynomials is called a refinement of ={P_1,...,P_m}, and
denoted ' ≽, if the
induced partition by ' is a combinatorial refinement of the partition
induced by . In other words, if for every x,y∈^n,
'(x)='(y) implies (x)=(y).",Refinement
1403.7703#equidist-24-03-2014.tex,definition[],"
A factor ' is called a refinement of , and
denoted ' ≽, if the
induced partition by ' is a combinatorial refinement of the partition
induced by . In other words, if for every x,y∈^n,
'(x)='(y) implies (x)=(y). We will write ≽_syn', if the polynomials defining ' extend that of .[One sometimes needs to distinguish between semantic and syntactic refinements, where the former is as <Ref> and the latter means that the polynomials defining ' extends that of . Being a syntactic refinement is stronger than being a
semantic refinement. But observe that if ' is a semantic
refinement of , then there exists a
syntactic refinement ” of  that induces the same
partition of ^n, and for which |”|≤
|'|+||, because we can define ” by
simply adding the defining polynomials of  to those of '.]",Refinement
1806.00072#graphs.tex,definition[],A graph is d-regular if every vertex has the same degree d.,Regular graph
1210.7253#JMI_2011main.tex,definition[],"A graph G=(V,E) is called r-regular, if d_i=r  ( i=1,…,|V|).",Regular graph
1701.08115#C3sTiling-170127.tex,definition[],"Given , _k > 0, r, t_0, t_1 ∈ℕ, a k-graph G and a (k-1)-complex  on V(G), we call  a (t_0, t_1, , _k, r)-regular slice for G if  is (t_0, t_1, )-equitable and G is (_k, r)-regular with respect to all but at most _k tk of the k-sets of clusters of , where t is the number of clusters of .",Regular slice
1411.4957#HyperErdosGallai_arXiv.tex,definition[],"Given ,_k>0,
r,t_0,t_1∈, a k-graph G and a (k-1)-complex  on V(G), we
call  a (t_0,t_1,,_k,r)-regular slice for G if
 is (t_0,t_1,)-equitable and G is (_k,r)-regular with respect to all but at most
_ktk of the k-sets of clusters of , where t is the number of clusters of .",Regular slice
1904.11778#1904.11778.tex,definition[],"Let ε >0. A pair
  (A,B)      of     disjoint      vertex-sets     in      G     is
    if  for every  X  ⊂  A and  Y
  ⊂ B, satisfying

    |X|>ε |A|, |Y|>ε |B|

we have

    |d(X,Y)-d(A,B)|<ε.
",Regularity condition
0707.2522#0707.2522.tex,definition[],"Let ε >0. A pair
  (A,B)      of     disjoint      vertex sets     in      G     is
    if  for every  X  ⊂  A and  Y
  ⊂ B, satisfying

    |X|>ε |A|, |Y|>ε |B|

we have

    |d(X,Y)-d(A,B)|<ε.
",Regularity condition
1707.07216#1707.07216.tex,definition[],"Let ε>0. A pair (A,B) of disjoint vertex sets of G is ε-regular 
if for every X⊂ A and Y⊂ B satisfying

    |X|>ε |A|,   |Y|>ε |B|

we have

    |d(X,Y)-d(A,B)|<ε.
",Regularity condition
1403.6710#matchingInformation.tex,definition[],"Let X, Y be discrete random
  variables on the same domain.
  Relative entropy of X and Y is
  
    XY =
      ∑_x ∈(X) X = x·log X = x/ Y = x.

  Here 0 log (0/q) = 0 and p log (p/0) = + ∞
  for p > 0 by convention.",Relative entropy
1607.08152#masterdraftJuly14Andrew.tex,definition[],"Let 𝒫 be a property of k-colourings of complete graphs that is monotone with respect to colour i. Let t be a template for a k-colouring of K_n which contains the i-monotone template E_n(i). We define the extremal entropy of 𝒫 relative to t to be:

    (t,𝒫):=max{(t')   :   v(t')=n, t'≤ t,  ⟨ t' ⟩⊆𝒫_n}.
",Relative entropy
1801.05195#containerpaperarxivupdate.tex,definition[],"Let 𝒫 be a property of k-colourings of complete graphs 

and let t ∈ (2^[k]∖{∅} )^K_n with ⟨ t⟩∩𝒫_n ≠∅.

We define the extremal entropy of 𝒫 relative to t to be:

    (t,𝒫):=max{(t')   :   v(t')=n, t'≤ t,  ⟨ t' ⟩⊆𝒫_n}.
",Relative entropy
1103.3362#1103.3362.tex,definition[],"Let G = (𝒱,E) be a subset partition graph of 𝒜 on the symbol set S, and let F ⊆ S be a collection of symbols. We define a new subset partition graph G_F = (𝒱_F, E_F) of 𝒜_F on the symbol set S' := S. 

We define 𝒜_F := {A ∈𝒜 : F ⊆ A}. That is to say, 𝒜_F is obtained by deleting from 𝒜 (and the containing 𝒱_i) any d-set A which does not contain F. This deletion from the vertices in 𝒱 may make some of them empty. The vertex set 𝒱_F consists of those vertices in 𝒱 which are still non-empty, and two vertices in 𝒱_F are connected by an edge in E_F exactly when the associated vertices were connected in E. The subset partition graph G_F is called the restriction of G with respect to F.",Restriction
1901.08839#1901.08839.tex,definition[],"For x,y ∈np and I ⊆ [n], we write x≡_I y to denote ∀ i∈ I x_i=y_i.
	
Given a function f, a set I [n] of coordinates, and x ∈np, we write f_I=x to describe the function which is the restriction of f to the sub-slice S=yy ≡_I x⊆np, i.e., f_I=x=fS. We further describe the function If by
	
    If(x) _Q∈ S_I [f(x^Q)] = _yf(y)y≡_I̅ x =  f_I̅=x.

	Additionally,
	
    I(f) f-If = _x f_I̅=x.
",Restriction
1509.09200#BoundedApproximation.tex,definition[],"We say that a majorant ν supported on [N] satisfies a restriction estimate at exponent p if 

    sup_|ϕ| ≤ν∫_ϕ̂(α)^p α≪_p ν_1^p N^-1.
",Restriction at p
1510.00136#dense-squares-imrn.tex,definition[],"We say that a majorant ν  on [N] satisfies a restriction estimate at exponent p if 

    sup_|ϕ| ≤ν∫_ϕ̂(α)^p α≪_p ν_1^p N^-1.
",Restriction at p
1311.7690#20131129Vassilieva_ARXIV.tex,definition[]," In what follows we consider the set ℱ( A) of permuted rooted forests composed of:


  * a bicolored identified ordered seed tree with a white root vertex,

  * other bicolored ordered trees, called non-seed trees  with either a white or a black root vertex,

  * each vertex of the forest has three kind of ordered descendants: tree-edges (connecting a white and a black vertex), thorns (half edges connected to only one vertex) and loops connecting a vertex to itself. The two extremities of the loop are part of the ordered set of descendants of the incident vertex and therefore the loop can be intersected by thorns, edges and other loops as well.

The forests in ℱ( A) also have the following properties:


  * the root vertices of the non-seed trees have at least one descending loop with one extremity being the rightmost descendant of the considered vertex,

  * the total number of thorns (resp. loops) connected to the white vertices is equal to the number of thorns (resp. loops) connected to the black ones,


  * there is a bijection between thorns connected to white vertices and the thorns connected to black vertices. The bijection between thorns will be encoded by assigning the same symbolic latin labels {a,b,c,…} to thorns associated by this bijection,

  * there is a mapping that associates to each loop incident to a white (resp. black) vertex, a black (resp. white) vertex v  such that the number of white (resp. black) loops associated to a fixed black (resp. white) vertex v is equal to its number of incident loops. We will use symbolic greek labels {α,β,…} to associate loops with vertices except for the maximal loop (i.e. the loop whose rightmost extremity is the rightmost descendant of the considered vertex) of a root vertex r of the non-seed trees. In this case, we draw an arrow ( [very thick,densely dashed] [->] (0,0) to (0.8,0);   ) outgoing from the root vertex r and incoming to the vertex associated with the loop. Arrows are non ordered, and :

  * the ascendant/descendant structure defined by the edges of the forest and the arrows defined above is a tree structure rooted in the root of the seed tree.

Finally the degree A of the forest is given in the following way:


  (vii) P_ij (resp P'_ij) counts the number of non root white vertices (resp. white root vertices excluding the root of the seed tree) of degree i with a total number of j loops,

  (viii) Q_ij (resp Q'_ij) counts the number of non root black vertices (resp. black root vertices) of degree i with a total number of j loops.
",Rooted bicolored forests of degree A
1011.5001#HMarxivNov21.2010.tex,definition[]," In what follow we consider the set ℱ( A) of permuted rooted forests composed of:


  * a bicolored identified ordered seed tree with a white root vertex,

  * other bicolored ordered trees, called non-seed trees  with either a white or a black root vertex,

  * each vertex of the forest has three kinds of ordered descendants : tree-edges or edges (connecting a white and a black vertex), thorns (halves of tree-edges connected to only one vertex) and loops connecting a vertex to itself. The two extremities of the loop are part of the ordered set of descendants of the incident vertex and therefore the loop can be intersected by thorns, edges and other loops as well.

The forests in ℱ( A) also have the following properties:
[(i)]

  * the root vertices of the non-seed trees have at least one descending loop with one extremity being the rightmost descendant of the considered vertex,

  * the total number of thorns (resp. loops) connected to the white vertices is equal to the number of thorns (resp. loops) connected to the black vertices,


  * there is a bijection between thorns connected to white vertices and the thorns connected to black vertices. The bijection between thorns will be encoded by assigning the same symbolic latin labels {a,b,c,…} to thorns associated by this bijection,

  * there is a mapping that associates to each loop incident to a white (resp. black) vertex, a black (resp. white) vertex v  such that the number of white (resp. black) loops associated to a fixed black (resp. white) vertex v is equal to its number of incident loops. We will use symbolic greek labels {α,β,…} to associate loops with vertices except for the maximal loop of a root vertex r of the non-seed trees. In this case, we draw an arrow ( [very thick,densely dashed] [->] (0,0) to (0.8,0);   ) outgoing from the root vertex r and incoming to the vertex associated with the loop. Arrows are non ordered, and

  * the ascendant/descendant structure defined by the edges of the forest and the arrows defined above is a tree structure rooted in the root of the seed tree.


Finally the degree A of the forest is given in the following way:


  (vii) P_ijk (resp P'_ijk) counts the number of non root white vertices (including the root of the seed tree) (resp. white root vertices excluding the root of the seed tree) of degree i, with j incoming arrows and a total of j+k loops.

  (viii) Q_ijk (resp Q'_ijk) counts the number of non root black vertices (resp. black root vertices) of degree i, with j incoming arrows and total j+k loops.
",Rooted bicolored forests of degree A
1907.10521#TM-Paper.tex,definition[],"A rooted tree T on X is a tree with leaf set X and one interior node is designated as the root, denoted as root(T).",Rooted tree
1404.4836#enumeration-wt.tex,definition[],"
A tree with a distinguished edge is called a rooted tree, and the
distinguished edge itself is called its root. We consider the
root edge as being oriented from black to white.",Rooted tree
1409.7714#macdonald.tex,definition + \emph{},"Let π be a permutation with permutation matrix M.  The Rothe diagram of π is the collection of cells (i,j) such that M_i',j = 0 for all i' ≤ i , and M_i,j' = 0 for all j' ≤ j.",Rothe diagram
1407.6217#Tableaux_V2.tex,definition + \emph{},"Let σ∈ S_n, the Rothe diagram D(σ) of σ is the subset of [n]× [n] defined by

    D(σ):={(a,σ(b)) ∈ [n] × [n]  |  a<b  and σ(a)>σ(b) }.
",Rothe diagram
1507.08235#rotor_arxiv.tex,definition[],"A rotor configuration on G is a function ϱ that assigns to each 
vertex v an out-edge with tail v. We call ϱ(v) the rotor at v.
 For a rotor configuration ϱ, we call the subgraph with edge set {ϱ(v): v∈ V(G)} the rotor subgraph .



",Rotor configuration
1502.05811#rotor_orbits_0222.tex,definition[],A rotor configuration on D is a function ϱ that assigns to each non-sink vertex v an out-edge with tail v. We call ϱ(v) the rotor at v.,Rotor configuration
1507.00249#main.tex,definition + \emph{},"Rowmotion is the element of the toggle group 

    τ_ℓ^-1(1)∘τ_ℓ^-1(2)⋯∘τ_ℓ^-1(n)

where ℓ is any linear extension of P. Note that because τ_p and τ_q commute unless p ⋖ q or q ⋖ p this composition indeed gives a well-defined map.",Rowmotion
1606.06248#cde.tex,definition + \emph{},"Rowmotion Φ_row J(P) → J(P) is the map defined by

    Φ_row(I) := {x ∈ Px ≤ y for some y ∈min(P∖ I)}

for I ∈ J(P).",Rowmotion
1603.09744#quasi_schubert_rev1.tex,definition + \emph{},"[<cit.>]
  For w a permutation with no descents at or beyond n, the Schubert polynomial _w = _w(x_1,…,x_n) is given by
  
    _w = ∑_P ∈(w) x^(P),

  where x^a is the monomial x_1^a_1⋯ x_n^a_n.
  ",Schubert polynomial
1903.05802#weak_EG.tex,definition + \emph{},"For w any permutation, the Schubert polynomial _w is 
  
    _w = ∑_ρ∈(w)_(P),

  where the sum may be taken over non-virtual reduced words ρ.
  ",Schubert polynomial
1711.09498#kohnert.tex,definition + \emph{},"[<cit.>]
  Given a permutation w, the Schubert polynomial _w is given by
  
    _w = ∂_w^-1 w_0( x_1^n-1 x_2^n-2⋯ x_n-1),

  where w_0 = n ⋯ 2 1 is the longest permutation of length n2.
  ",Schubert polynomial
1409.4859#1409.4859.tex,definition + \emph{},"If λ is a partition of N, we define the Schur function by

    s_λ = ∑_SSYT T
    sh(T) = λx^T.
",Schur function
1810.07148#QSymBookChapter.tex,definition + \emph{},"The Schur function s_λ(x_1,x_2,  , x_n) is the generating function for the weights of all semi-standard Young tableaux of shape λ with entries in the set {1,2,  , n}; that is 
    s_λ(x_1,x_2,  , x_n) = ∑_T ∈(λ) x^T.
  Here the sum is over all semi-standard Young tableaux whose entries are in the set [n].  Extend this definition to infinitely many variables by allowing entries from the set of all positive integers.",Schur function
1210.6013#NoncommirrrepSvWv2.tex,definition + \emph{},"Given a partition λ = (λ _1, … , λ _ℓ) the Schur function s_λ is defined to be   s_0=1 and otherwise

    s_λ =  (h_λ _i -i+j)_i,j=1^ℓ.
",Schur function
1903.05802#weak_EG.tex,definition + \emph{},"For λ a partition, the Schur function s_λ is 
  
    s_λ(X) = ∑_T ∈(λ) F_(T)(X).

  ",Schur function
1907.07616#SL2Plethysms8+.tex,definition + \emph{},"
Let λ be a partition. Given a λ-tableau t with entries
from _0, let x^t = x_0^a_0(t)x_1^a_1(t)… where a_k(t) is the
number of entries of t equal to k ∈_0.
The Schur function s_λ is the symmetric function defined by

    s_λ(x_0,x_1,…, x_ℓ) = ∑_t ∈_≤ℓ(λ) x^t.
",Schur function
1703.07457#bozo.tex,definition + \emph{},"[<cit.>]
  The Schur function for λ is
  
    s_λ(X) = ∑_T ∈SYT(λ) F_(w(T))(X),

  where SYT(λ) is the set of standard Young tableaux of shape λ.
  ",Schur function
1802.07352#FPSACbohnert.tex,definition + \emph{},"The Schur polynomial indexed by the partition λ is given by
  
    s_λ (x_1,…,x_n) = ∑_T ∈_n(λ) x_1^(T)_1⋯ x_n^(T)_n.

  where (T) is the weak composition whose ith part is the number of entries i in T.
  ",Schur polynomial
1803.06317#bohnert.tex,definition + \emph{},"The Schur polynomial indexed by the partition λ is given by
  
    s_λ (x_1,…,x_n) = ∑_T ∈_n(λ) x_1^(T)_1⋯ x_n^(T)_n,

  where _n(λ) denotes the set of all semistandard Young tableaux of shape λ with largest entry at most n, and (T) is the composition whose ith part is the multiplicity with which i occurs in T. 
  ",Schur polynomial
1908.08502#monkey.tex,definition + \emph{},"The Schur polynomial s_λ(x_1,…,x_n) is given by
  
    s_λ(x_1,…,x_n) = ∑_T ∈_n(λ) x_1^(T)_1⋯ x_n^(T)_n.

  ",Schur polynomial
1603.09744#quasi_schubert_rev1.tex,definition + \emph{},"The Schur polynomial s_λ(x_1,…,x_n) is given by
  
    s_λ(x_1,…,x_n) = ∑_T ∈_n(λ) x^(T),

  where x^a is the monomial x_1^a_1⋯ x_n^a_n.
  ",Schur polynomial
1507.02350#planar-nocom.tex,definition[],"A separation of a graph G is a pair (A, B) such that
  [(i)]
  
  * A ∪ B = V(G) and
  
  * there are no edges between A ∖ B and B ∖ A in G.
  
  Informally, we sometimes call A and B the sides of (A, B). The integer |A ∩ B| is called the order of the separation. We say that a separation (A, B) is nontrivial if A ∖ B ≠∅≠ B ∖ A.",Separation
1404.5976#main_linked_arxiv.tex,definition[],"
Let G be a digraph and A, B ⊆ V(G). We say (A, B) is a separation of G of order s if:


  * A ∪ B = V(G),

  * |A ∩ B| = s, and

  * there is no edge from A ∖ B to B ∖ A.

For X, Y ⊆ V(G), we say that (A, B) separates (X, Y) if X ⊆ A and Y ⊆ B. Alternately we say that A ∩ B separates (X, Y).",Separation
1803.07515#seq-shellability.tex,definition[],"Let D be a good drawing of K_n. We call D k-seq-shellable for k≥ 0 if there exists a face F∈ℱ(D) and a sequence of distinct vertices a_0,…,a_k such that a_0 is incident to F and
	
		
  * for each i∈{1,…,k}, vertex a_i is incident to the face containing F in drawing D-{a_0,…,a_i-1} and
		
  * for each i∈{0,…,k}, vertex a_i has a simple sequence S_i=(u_0,…,u_k-i) with u_j∈ V∖{a_0,…,a_i} for 0≤ j ≤ k-i in drawing D-{a_0,…,a_i-1}. 
	",Seq-Shellability
1805.06780#sps-shellability_arxiv.tex,definition[],"<cit.>
	Let D be a good drawing of K_n. We call D k-seq-shellable for k≥ 0 if there exists a face F∈ℱ(D) and a sequence of distinct vertices a_0,…,a_k such that a_0 is incident to F, and
	(1.) for each i∈{1,…,k}, vertex a_i is incident to the face containing F in drawing D-{a_0,…,a_i-1}, and
	(2.) for each i∈{0,…,k}, vertex a_i has a simple sequence S_i=(u_0,…,u_k-i) with u_j∈ V∖{a_0,…,a_i} for 0≤ j ≤ k-i in drawing D-{a_0,…,a_i-1}.",Seq-Shellability
1509.04955#narrow.tex,definition[],"
Let χ:→ be a smooth compactly supported function. For any positive integer m, we define the sieve factor

    c_χ,m=∫_⋯∫_∏_I⊂ [m]:I≠∅( ∑_j∈ I (1+it_j) )^(-1)^|I|-1∏_j=1^m ψ(t_j) dt_j,

where the function ψ:→ is defined by the relation

    e^xχ(x)=∫_-∞^∞ψ(t)e^-ixt dt.

More generally, for a vector h=(h_1,⋯,h_k)∈^k, define the sieve factor

    c_χ(h)=∏_h∈{h_1,⋯,h_k} c_χ(m(h)),

where m(h)=#{1≤ i≤ k:h_i=h}.",Sieve factor
1403.7040#primescplx1.tex,definition[],"We let
	
    c_χ,2 = ∬_^2(1+iξ)(1+iξ')/2 + i(ξ + ξ')φ(ξ)φ(ξ')dξdξ'.
",Sieve factor
1803.07515#seq-shellability.tex,definition[],"Let D be a good drawing of K_n, F∈ℱ(D) and v∈ V with v incident to F. 
	Furthermore, let S_v = (u_0,…,u_k) with u_i∈ V∖{v} be a sequence of distinct vertices.
	If u_0 is incident to F and vertex u_i is incident to a face containing F in subdrawing D-{u_0,…, u_i-1} for all 1≤ i ≤ k, then we call S_v simple sequence of v.",Simple sequence
1805.06780#sps-shellability_arxiv.tex,definition[],"<cit.>
	Let D be a good drawing of K_n, F∈ℱ(D) and v∈ V with v incident to F. 
	Furthermore, let S_v = (u_0,…,u_k) with u_i∈ V∖{v} be a sequence of distinct vertices.
	If u_0 is incident to F and vertex u_i is incident to a face containing F in the subdrawing D-{u_0,…, u_i-1} for all 1≤ i ≤ k, then we call S_v simple sequence of v.",Simple sequence
1403.6710#matchingInformation.tex,definition[],"Given an approximation problem
  ^* = (, ℱ^*)
  of a maximization problem = (𝒮, ℱ),
  the slack matrix S of ^* is
  the ℱ×𝒮 matrix
  where S_f, s f^* - f(s) for all f,s.",Slack matrix
1706.05496#1706.05496.tex,definition[],"
	Let P ⊆^d be a polytope. Consider a linear system Ax≤ b describing P, i.e.,  P = { x ∈^d : Ax≤ b } with A∈^m × d and b ∈^m, and a set  V = { v_1, … ,v_n}⊆ P containing all the vertices of P, i.e., P=(V). Then the m × n   matrix S = (S_i,j) with entries 
	
    S_i,j = b_i - A_i^Tv_j   for  i∈ [m],  j∈ [n]
 
	is called a slack matrix of P, said to be   induced by V and the linear system Ax≤ b.",Slack matrix
