,title,term,definition,pred
99,Definition:Convex Set (Order Theory),Convex Set,"=== Definition 1 ===
A subset A of an ordered set ( S, ≼) is convex (in S)  if and only if :
:∀ x, y ∈ A: ∀ z ∈ S: x ≼ z ≼ y  z ∈ A

=== Definition 2 ===
A subset A of an ordered set ( S, ≼) is convex (in S)  if and only if :
:∀ x, y ∈ A: ∀ z ∈ S: x ≺ z ≺ y  z ∈ A",Definition:Convex Set (Vector Space)
100,Definition:Convex Set (Vector Space),Convex Set,"Let F ∈{ℝ, ℂ}.

Let V be a vector space over F.

Let C ⊆ V.

=== Definition 1 ===
Let F ∈{ℝ, ℂ}.

Let V be a vector space over F.

Let C ⊆ V.


We say that C is convex  if and only if :

:t x + ( 1 - t ) y ∈ C

for each x, y ∈ C and t ∈[ 0  . . ]1.

=== Definition 2 ===
Let F ∈{ℝ, ℂ}.

Let V be a vector space over F.

Let C ⊆ V.


We say that C is convex  if and only if :

:t C + ( 1 - t ) C ⊆ C

for each t ∈[ 0  . . ]1, where t C + ( 1 - t ) C denotes a linear combination of subsets.


=== Line Segment ===
Let V be a vector space over ℝ or ℂ.

Let x, y ∈ V.


The set:

:{ t x + ( 1 - t ) y: t ∈[ 0  . . ]1 } 

is called the (straight) line segment joining x and y.


A convex set can thus be described as a set containing all straight line segments between its elements.",Definition:Convex Set (Vector Space)
101,Definition:Transitive Closure (Relation Theory),Transitive,"=== Smallest Transitive Superset ===
Let ℛ be a relation on a set S.


The transitive closure of ℛ is defined as the smallest transitive relation on S which contains ℛ as a subset.


The transitive closure of ℛ is denoted ℛ^+.

=== Intersection of Transitive Supersets ===
Let ℛ be a relation on a set S.


The transitive closure of ℛ is defined as the intersection of all transitive relations on S which contain ℛ.


The transitive closure of ℛ is denoted ℛ^+.

=== Finite Chain ===
Let ℛ be a relation on a set or class S.


The transitive closure of ℛ is the relation ℛ^+ defined as follows:

For x, y ∈ S, x ℛ^+ y  if and only if  for some n ∈ℕ_>0 there exist s_0, s_1, …, s_n ∈ S such that s_0 = x, s_n = y, and:

 
 
 
 
 
 


That is:

:∀ k ∈ℕ_n: s_k ℛ s_k + 1

=== Union of Compositions ===
Let ℛ be a relation on a set S.

Let:

:ℛ^n := ℛ    : n = 1 
ℛ^n-1∘ℛ    : n > 1

where ∘ denotes composition of relations.

Finally, let:

:ℛ^+ = ⋃_i  = 1^∞ℛ^i


Then ℛ^+ is called the transitive closure of ℛ.",Definition:Transitive Group Action
102,Definition:Reflexive Transitive Closure,Transitive,"Let ℛ be a relation on a set S.


=== Smallest Reflexive Transitive Superset ===
Let ℛ be a relation on a set S.

The reflexive transitive closure of ℛ is denoted ℛ^*, and is defined as the smallest reflexive and transitive relation on S which contains ℛ.

=== Reflexive Closure of Transitive Closure ===
Let ℛ be a relation on a set S.

The reflexive transitive closure of ℛ is denoted ℛ^*, and is defined as the reflexive closure of the transitive closure of ℛ:

:ℛ^* = ( ℛ^+ )^=

=== Transitive Closure of Reflexive Closure ===
Let ℛ be a relation on a set S.

The reflexive transitive closure of ℛ is denoted ℛ^*, and is defined as the transitive closure of the reflexive closure of ℛ:
:ℛ^* = ( ℛ^= )^+",Definition:Transitive Closure (Relation Theory)
103,Definition:Transitive Reduction,Transitive,"=== Relation Theory ===
Let ℛ be a relation on a set S.


A transitive reduction of ℛ is denoted ℛ^-, and is defined as a minimal relation on S which has the same transitive closure as ℛ.

=== Graph Theory ===

The concept of transitive reduction is usually encountered in the field of graph theory where it has considerable importance:

Let G = ( V, E ) be a loop-digraph.

Let G be expressed formally as a relational structure 𝒢.

A transitive reduction of G is denoted G^-, and is defined as a transitive reduction of the relation 𝒢.

Hence it is a minimal loop-digraph on V which has the same transitive closure as 𝒢.",Definition:Reflexive Transitive Closure
104,Definition:Transitive Group Action,Transitive,"Let G be a group.

Let S be a set.

Let *: G × S → S be a group action.


The group action is transitive  if and only if  for any x, y ∈ S there exists g ∈ G such that g * x = y.


That is,  if and only if  for all x ∈ S:
:Orb( x ) = S
where Orb( x ) denotes the orbit of x ∈ S under *.


=== n-transitive Action ===
Let G be a group.

Let S be a set.

Let *: G × S → S be a group action.

Let n≥1 be a natural number.


The group action is n-transitive  if and only if  for any two ordered n-tuples (x_1, …, x_n) and (y_1, …, y_n) of pairwise distinct elements of S, there exists g∈ G such that:
:∀ i∈{1, …, n} : g * x_i = y_i


Category:Definitions/Group Actions",Definition:Transitive Class
105,Definition:Transitive Subgroup,Transitive,"Let S_n denote the symmetric group on n letters for n ∈ℕ.

Let H be a subgroup of S_n.

Let H be such that:
:for every pair of elements i, j ∈ℕ_n there exists π∈ H such that π(   )i = j.


Then H is called a transitive subgroup of S_n.",Definition:Transitive Closure (Relation Theory)
106,Definition:Transitive Class,Transitive,"Let A denote a class, which can be either a set or a proper class.

Then A is transitive  if and only if  every element of A is also a subclass of A.


That is, A is transitive  if and only if :
:x ∈ A  x ⊆ A

or:
:∀ x: ∀ y: ( x ∈ y  y ∈ A  x ∈ A )",Definition:Transitive Group Action
107,Definition:Transitive Closure (Set Theory),Transitive,"=== Definition 1 ===
Let x be a set.

Then the transitive closure of x is the smallest transitive superset of x.

The following is not equivalent to the above, but they are almost the same.

=== Definition 2 ===
Let x be a set.

For each natural number n ∈ℕ_≥ 0 let:

: ⋃^n x = ⋃⋃⋯⋃_n x


Then the transitive closure of x is the union of the sets:
:{x}, x, ⋃ x, ⋃^2 x, …, ⋃^n x, …


More precisely:

Let F be the mapping on the universal class defined by letting:
:F (a) = ⋃ a
for each set a.

Let G be the mapping on the natural numbers defined recursively by letting:

: G (0) = {x}
: G (n^+) = F (G (n))

for each natural number n.

Then the transitive closure of x is defined as the union of the image of G.",Definition:Transitive Group Action
108,Definition:Conic Section/Focus,Focus,"Let 𝒦 be a conic section specified in terms of:
:a given straight line D
:a given point F
:a given constant ϵ

where K is the locus of points P such that the distance p from P to D and the distance q from P to F are related by the condition:
:q = ϵ  p


The point F is known as the focus of 𝒦.",Definition:Ellipse/Focus
109,Definition:Ellipse/Focus,Focus,"Let K be an ellipse specified in terms of:
:a given straight line D
:a given point F
:a given constant ϵ such that 0 < ϵ < 1

where K is the locus of points P such that the distance p from P to D and the distance q from P to F are related by the condition:
:q = ϵ  p


The point F is known as the focus of the ellipse.",Definition:Ellipse/Focus
110,Definition:Parabola/Focus,Focus,":


Let K be a parabola specified in terms of:
:a given straight line D
:a given point F

where K is the locus of points P such that the distance p from P to D equals the distance q from P to F:
:p = q


The point F is known as the focus of the parabola.",Definition:Ellipse/Focus
111,Definition:Hyperbola/Focus,Focus,":


Let K be a hyperbola specified in terms of:
:a given straight line D
:a given point F
:a given constant ϵ such that ϵ > 1

where K is the locus of points P such that the distance p from P to D and the distance q from P to F are related by the condition:
:q = ϵ  p


The point F_1 is known as a focus of the hyperbola.

The symmetrically-positioned point F_2 is also a focus of the hyperbola.",Definition:Ellipse/Focus
112,Definition:Permutation Representation,Representation,"Let G be a group.

Let X be a set.

Let ( Γ(   )X, ∘) be the symmetric group on X.


A permutation representation of G is a group homomorphism from G to ( Γ(   )X, ∘).


=== Associated to Group Action ===
Let G be a group.

Let X be a set.

Let ( Γ(   )X, ∘) be the symmetric group on X.


Let ϕ: G × X → X be a group action.

Define for g ∈ G the mapping ϕ_g : X → X by:
:ϕ_g (   )x = ϕ(   )g, x


The permutation representation of G associated to the group action is the group homomorphism G →( Γ(   )X, ∘) which sends g to ϕ_g.",Definition:Ring Representation
113,Definition:Linear Representation,Representation,"=== Groups ===
Let ( K, +, ∘) be a field.

Let V be a vector space over K of finite dimension.

Let GL( V ) be the general linear group of V.

Let ( G, ·) be a finite group.


A linear representation of G on V is a group homomorphism ρ: G →GL( V ).


=== Module associated to representation ===

Let K [ G ] be the group ring.

Let End(   )V be the endomorphism ring of V.

Let K [ G ] →End(   )V be the ring homomorphism given by ρ : G →GL( V ) and the Universal Property of Group Ring.


The K [ G ]-module induced by the representation is the module induced by this homomorphism.

=== Algebras ===
Let K be a field.

Let A be an associative unitary algebra over K.

Then a (linear) representation of A is a vector space V over K equipped with a homomorphism of algebras:

:ρ: A →End(   )V

where End(   )V is the endomorphism ring of V.


Category:Definitions/Representation Theory",Definition:Linear Representation
114,Definition:Ring Representation,Representation,"Let R be a ring.

Let M be an abelian group.


A ring representation of R on M is a ring homomorphism from R to the endomorphism ring End(   )M.


=== Unital Ring Representation ===
Let R be a ring with unity.

Let M be an abelian group.


A unital ring representation of R on M is a ring representation R →End(   )M which is unital.

That is, it is a unital ring homomorphism from R to the endomorphism ring End(   )M.",Definition:Representation of Functor
115,Definition:Representation of Functor,Representation,"Let 𝐂 be a locally small category.

Let 𝐒𝐞𝐭 be the category of sets.

Let F : 𝐂→𝐒𝐞𝐭 be a covariant functor.


A representation of F is a pair ( C, η) where η : Hom(   )C, ·→ F is a natural isomorphism with the covariant hom functor of C.",Definition:Ring Representation
116,Definition:Dual Relation,Dual,"=== Inverse of Complement ===
Let ℛ⊆ S × T be a binary relation.


Then the dual of ℛ is denoted ℛ^d and is defined as:

:ℛ^d := ( R )^-1

where:
:R denotes the complement of ℛ
:( R )^-1 denotes the inverse of the complement of ℛ.

=== Complement of Inverse ===
Let ℛ⊆ S × T be a binary relation.


Then the dual of ℛ is denoted ℛ^d and is defined as:

:ℛ^d := ( ℛ^-1)

where:
:ℛ^-1 denotes the inverse of ℛ
:( ℛ^-1) denotes the complement of the inverse of ℛ.


Category:Definitions/Relation Theory",Definition:Dual Vector Space
117,Definition:Dual Ordering,Dual,"Let ( S, ≼) be an ordered set.

Let ≽ be the inverse relation to ≼.

That is, for all a, b ∈ S:

:a ≽ b  if and only if  b ≼ a


Then ≽ is called the dual ordering of ≼.


=== Dual Ordered Set ===
Let ( S, ≼) be an ordered set.

Let ≽ be the dual ordering of ≼.


The ordered set ( S, ≽) is called the dual ordered set (or just dual) of ( S, ≼).


That it indeed is an ordered set is a consequence of Dual Ordering is Ordering.

=== Notation for Dual Ordering ===
To denote the dual of an ordering, the conventional technique is to reverse the symbol.

Thus:
:≽ denotes ≼^-1
:≽ denotes ≼^-1
:⋟ denotes ⋞^-1

and so:
:a ≼ b  b ≽ a
:a ≼ b  b ≽ a
:a ⋞ b  b ⋟ a


Similarly for the standard symbols used to denote an ordering on numbers:
:≥ denotes ≤^-1
:⩾ denotes ⩽^-1
:⪖ denotes ⪕^-1

and so on.

=== Notation for Dual Strict Ordering ===
To denote the dual of an strict ordering, the conventional technique is to reverse the symbol.

Thus:
:≻ denotes ≺^-1

and so:
:a ≺ b  b ≻ a


Similarly for the standard symbol used to denote a strict ordering on numbers:
:> denotes <^-1

and so on.",Definition:Dual Vector Space
118,Definition:Dual Statement (Order Theory),Dual,"Let ( S, ≼) be an ordered set.

Let ≽ be the dual ordering to ≼.

Let x3a3 be any statement pertaining to ( S, ≼) (be it in natural language or a formal language).


The dual statement of x3a3, denoted x3a3^*, is the statement obtained from replacing every reference to ≼ in x3a3 with a reference to its dual ≽.

This dual statement may then be turned into a statement about ≼ again by applying the equivalences on Dual Pairs (Order Theory).",Definition:Self-Dual (Order Theory)
119,Definition:Dual Isomorphism (Order Theory),Dual,"Let ( S, ≼_S ) and ( T, ≼_T ) be ordered sets.

Let ϕ: S → T be a bijection.


Then ϕ is a dual isomorphism between ( S, ≼_S ) and ( T, ≼_T )  if and only if  ϕ and ϕ^-1 are decreasing mappings.


If there is a dual isomorphism between ( S, ≼_S ) and ( T, ≼_T ), then ( S, ≼_S ) is dual to ( T, ≼_T ).

Equivalently, ( S, ≼_S ) is dual to ( T, ≼_T )  if and only if  S with the dual ordering is isomorphic to T.",Definition:Dual Relation
120,Definition:Dual Order Embedding,Dual,"Let ( S, ≼_1 ) and ( T, ≼_2 ) be ordered sets.


A dual order embedding is a mapping ϕ: S → T such that:

:∀ x, y ∈ S: x ≼_1 y ϕ(   )y ≼_2 ϕ(   )x


That is:
:if ϕ is an order embedding of ( S, ≼_1 ) into ( T, ≽_2 )
where ≽_2 is the dual of ≼_2.

Category:Definitions/Order Embeddings",Definition:Dual Statement (Category Theory)
121,Definition:Self-Dual (Order Theory),Dual,"Let (S, ≼) be an ordered set.

If S is dual to S, then S is self-dual.",Definition:Self-Dual (Order Theory)
122,Definition:Algebraic Dual,Dual,"Let ( R, +, ×) be a commutative ring.

Let ( G, +_G, ∘)_R be an R-module.

Let ( R, +_R, ∘)_R denote the R-module R.


The R-module ℒ_R (   )G, R of all linear forms on G is usually denoted G^* and is called the algebraic dual of G.


=== Double Dual ===
Let R be a commutative ring.

Let G be an R-module.


The double dual G^** of G is the dual of its dual G^*.


Category:Definitions/Algebraic Duals",Definition:Dual Relation
123,Definition:Algebraic Dual/Double Dual,Dual,"Let R be a commutative ring.

Let G be an R-module.


The double dual G^** of G is the dual of its dual G^*.


Category:Definitions/Algebraic Duals",Definition:Self-Dual (Order Theory)
124,Definition:Ordered Dual Basis,Dual,"Let R be a commutative ring with unity.

Let ( G, +_G, ∘)_R be an n-dimensional module over R.

Let ⟨ a_n ⟩ be an ordered basis of G.

Let G^* be the algebraic dual of G.


Then there is an ordered basis ⟨ a'_n ⟩ of G^* satisfying ∀ i, j ∈[ 1  . . ]n: a'_i (   )a_j = δ_i j.


This ordered basis ⟨ a'_n ⟩ of G^* is called the ordered basis of G^* dual to ⟨ a_n ⟩, or the ordered dual basis of G^*.",Definition:Dual Relation
125,Definition:Dual Vector Space,Dual,"Let V be a vector space.

Let ϕ: V →ℝ be a linear mapping.


The set of all ϕ is called a dual space (of V) and is denoted by V^*.",Definition:Self-Dual (Order Theory)
126,Definition:Normed Dual Space,Dual,"Let ( X, ‖·‖_X ) be a normed vector space.

Let X^∗ be the vector space of bounded linear functionals on X. 

Let ‖·‖_X^∗ be the norm on bounded linear functionals.


We say that ( X^∗, ‖·‖_X^∗) is the normed dual space of X.",Definition:Self-Dual (Order Theory)
127,Definition:Second Normed Dual,Dual,"Let ( X, ‖·‖_X ) be a normed vector space.

Let ( X^∗, ‖·‖_X^∗) be the normed dual of ( X, ‖·‖_X ).


We define the second normed dual, written ( X^∗∗, ‖·‖_X^∗∗) as the normed dual of ( X^∗, ‖·‖_X^∗).",Definition:Dual Statement (Order Theory)
128,Definition:Dual Category,Dual,"Let 𝐂 be a metacategory.


Its dual category, denoted 𝐂^op, is defined as follows:

 

It can be seen that this comes down to the metacategory obtained by reversing the direction of all morphisms of 𝐂.",Definition:Dual Category
129,Definition:Dual Statement (Category Theory),Dual,"=== Morphisms-Only Category Theory ===

Let x3a3 be a statement in the language of category theory.

The dual statement x3a3^* of x3a3 is the statement obtained from substituting:

 
 
 
 
 


=== Object Category Theory ===

In the more convenient description of metacategories by using objects, the dual statement x3a3^* of x3a3 then becomes the statement obtained from substituting:

 
 
 
 
 
 


=== Example ===

For example, if x3a3 is the statement:

:∃ g: g ∘ f = id_Dom( f )

describing that f is a split mono, then x3a3^* becomes:

:∃ g: f ∘ g = id_Cdm( f )

which precisely expresses f to be a split epi.


For a set ℰ of statements, write:

:ℰ^* := {x3a3^*: x3a3∈ℰ} 

for the set comprising of the dual statement of those in ℰ.",Definition:Dual Vector Space
130,Definition:Dual Polyhedron,Dual,"Let P be a polyhedron.

The dual polyhedron D of P is the polyhedron which can be constructed as follows:

:(1): The vertices of D are the centroids of the faces of P.

:(2): For each edge of P which is adjacent to two faces F_1 and F_2 of P, an edge of D is constructed which is adjacent to the vertices of D forming the centroids of F_1 and F_2.",Definition:Dual Vector Space
131,Definition:Orientation (Graph Theory),Orientation,"Let G = ( V, E ) be a simple graph.

Let H = ( V, A ) be a digraph.


Then H is an orientation of G  if and only if  both of the following hold:

:(1):    H is a simple digraph. That is, A is antisymmetric.
:(2):   ∀ x, y ∈ V: ( { x, y }∈ E ( x, y ) ∈ A ( y, x ) ∈ A )


That is, H is formed from G by replacing every edge of G with an arc.",Definition:Orientation of Coordinate Axes
132,Definition:Orientation of Coordinate Axes,Orientation,"The orientation of a coordinate system is the disposition of the coordinate axes relative to each other.


=== Cartesian Plane ===
There are 2 different orientations of a Cartesian plane:


:  


=== Right-Handed ===
A Cartesian plane is defined as being right-handed if it has the following property:

Let a right hand be placed, with palm uppermost, such that the thumb points along the x-axis in the positive direction, such that the thumb and index finger are at right-angles to each other.

Then the index finger is pointed along the y-axis in the positive direction.


:

=== Left-Handed ===
A Cartesian plane is defined as being left-handed if it has the following property:

Let a left hand be placed, with palm uppermost, such that the thumb points along the x-axis in the positive direction, such that the thumb and index finger are at right-angles to each other.

Then the index finger is pointed along the y-axis in the positive direction.


:

=== Cartesian 3-Space ===
There are 2 different orientations of a Cartesian 3-space:


:  


=== Right-Handed ===
A Cartesian 3-Space is defined as being right-handed if it has the following property:

Let a right hand be placed such that:
:the thumb and index finger are at right-angles to each other
:the 3rd finger is at right-angles to the thumb and index finger, upwards from the palm
:the thumb points along the x-axis in the positive direction
:the index finger points along the y-axis in the positive direction.

Then the 3rd finger is pointed along the z-axis in the positive direction.


:

=== Left-Handed ===
A Cartesian 3-Space is defined as being left-handed if it has the following property:

Let a left hand be placed such that:
:the thumb and index finger are at right-angles to each other
:the 3rd finger is at right-angles to the thumb and index finger, upwards from the palm
:the thumb points along the x-axis in the positive direction
:the index finger points along the y-axis in the positive direction.

Then the 3rd finger is pointed along the z-axis in the positive direction.


:",Definition:Orientation of Coordinate Axes
133,Definition:Decomposable Set,Decomposition,"A set S ⊆ℝ^n is decomposable in m sets A_1, …, A_m ⊂ℝ^n  if and only if  there exist isometries ϕ_1, …, ϕ_m: ℝ^n →ℝ^n such that:

:(1):   S = ⋃_k  = 1^m ϕ_k (   )A_k 
:(2):  ∀ i  j: ϕ_i (   )A_i∩ϕ_j (   )A_j = ∅

Such a union is known as a decomposition.

 ",Definition:Partial Fractions Expansion
134,Definition:Internal Direct Product/Decomposition,Decomposition,"Let ( S_1, ∘_S_1), ( S_2, ∘_S_2), …, ( S_n, ∘_S_n) be closed algebraic substructures of an algebraic structure ( S, ∘)

where ∘_S_1, ∘_S_2, …, ∘_S_n are the operations induced by the restrictions of ∘ to S_1, S_2, …, S_n respectively.

Let ( S, ∘) be the internal direct product of S_1, S_2, …, S_n.


The set of algebraic substructures ( S_1, ∘_S_1), ( S_2, ∘_S_2), …, ( S_n, ∘_S_n) whose (external) direct product is isomorphic with ( S, ∘) is called a decomposition of S.",Definition:Partial Fractions Expansion
135,Definition:Internal Group Direct Product/Decomposition,Decomposition,"Let ( H_1, ∘_H_1), ( H_2, ∘_H_2), …, ( H_n, ∘_H_n) be subgroups of a group ( G, ∘)

where ∘_H_1, ∘_H_2, …, ∘_H_n are the operations induced by the restrictions of ∘ to H_1, H_2, …, H_n respectively.

Let ( G, ∘) be the internal group direct product of H_1, H_2, …, H_n.


The set of subgroups ( H_1, ∘_H_1), ( H_2, ∘_H_2), …, ( H_n, ∘_H_n) whose group direct product is isomorphic with ( G, ∘) is called a decomposition of G.",Definition:Partial Fractions Expansion
136,Definition:Prime Decomposition,Decomposition,"Let n > 1 ∈ℤ.


From the Fundamental Theorem of Arithmetic, n has a unique factorization of the form:

 
 
 
 

where:
:p_1 < p_2 < ⋯ < p_r are distinct primes
:k_1, k_2, …, k_r are (strictly) positive integers.


This unique expression is known as the prime decomposition of n.


=== Multiplicity ===
Let n > 1 ∈ℤ.

Let:
:n = p_1^k_1 p_2^k_2⋯ p_r^k_r
be the prime decomposition of n, where:
:p_1 < p_2 < ⋯ < p_r are distinct primes
:k_1, k_2, …, k_r are (strictly) positive integers.


For each p_j ∈{ p_1, p_2, …, p_r }, its power k_j is known as the multiplicity of p_j.",Definition:Prime Decomposition
137,Definition:Partial Fractions Expansion,Decomposition,"Let R (   )x = P (   )xQ (   )x be a rational function, where P (   )x and Q (   )x are expressible as polynomial functions.

Let Q (   )x be expressible as:
:Q (   )x = ∏_k  = 1^n q_k (   )x
where the q_k (   )x are themselves polynomial functions of degree at least 1.


Let R (   )x be expressible as:
:R (   )x = r (   )x ∑_k  = 0^n p_k (   )xq_k (   )x
where:
:r (   )x is a polynomial function which may or may not be the null polynomial, or be of degree 0 (that is, a constant)
:each of the p_k (   )x are polynomial functions
:the degree of p_k (   )x is strictly less than the degree of q_k (   )x for all k.


Then r (   )x ∑_k  = 0^n p_k (   )xq_k (   )x is a partial fractions expansion of R (   )x.",Definition:Decomposable Set
138,Definition:Circle/Radius,Radius,":

A radius of a circle is a straight line segment whose endpoints are the center and the circumference of the circle.

In the above diagram, the line AB is a radius.",Definition:Open Ball/Radius
139,Definition:Sphere/Geometry/Radius,Radius,"A radius of a sphere is a straight line segment whose endpoints are the center and the surface of the sphere.

The radius of a sphere is the length of one such radius.",Definition:Open Ball/Radius
140,Definition:Radius of Curvature,Radius,"The radius of curvature of a curve C at a point P is defined as the reciprocal of the absolute value of its curvature:

:ρ =  1 | k |


=== Cartesian Coordinates ===
Let C be a curve defined by a real function which is twice differentiable.

Let C be embedded in a cartesian plane.


The radius of curvature of C at a point P can be expressed in cartesian coordinates as:
:ρ = |( 1 + y'^2 )^3/2y|

where:
 
 
 
 

=== Parametric Cartesian Form ===
Let C be a curve defined by a real function which is twice differentiable.

Let C be embedded in a cartesian plane and defined by the parametric equations:
:x = x (   )t 
 y = y (   )t


The radius of curvature ρ of C at a point P = ( x, y ) is given by:

:ρ = ( x'^2 + y'^2 )^3/2| x' y - y' x |
where:
:x' = d xd t is the derivative of x   t at P
:y' = d yd t is the derivative of y   t at P
:x and y are the second derivatives of x and y   t at P.",Definition:Position Vector
141,Definition:Position Vector,Radius,"Let P be a point in a given frame of reference whose origin is O.

The position vector 𝐩 of P is the displacement vector of P from O.


=== Notation ===
",Definition:Open Ball/Radius
142,Definition:Open Ball/Radius,Radius,"Let M = ( A, d ) be a metric space or pseudometric space.

Let a ∈ A.

Let B_ϵ(   )a be the open ϵ-ball of a.


In B_ϵ(   )a, the value ϵ is referred to as the radius of the open ϵ-ball.",Definition:Open Ball/Radius
143,Definition:Radius of Convergence,Radius,"=== Real Domain ===
Let ξ∈ℝ be a real number.

Let S (   )x = ∑_n  = 0^∞ a_n ( x - ξ)^n be a power series about ξ.

Let I be the interval of convergence of S (   )x.

Let the endpoints of I be ξ - R and ξ + R.

(This follows from the fact that ξ is the midpoint of I.)


Then R is called the radius of convergence of S (   )x.


If S (   )x is convergent over the whole of ℝ, then I = ℝ and thus the radius of convergence is infinite.

=== Complex Domain ===
Let ξ∈ℂ be a complex number.

For z ∈ℂ, let:
:f (   )z = ∑_n  = 0^∞ a_n ( z - ξ)^n
be a power series about ξ.


The radius of convergence is the extended real number R ∈R defined by:

:R = inf{| z - ξ|: z ∈ℂ, ∑_n  = 0^∞ a_n ( z - ξ)^n  is divergent}

where a divergent series is a series that is not convergent.

As usual, inf∅ = +∞.",Definition:Open Ball/Radius
144,Definition:Indexing Set/Index,Index,"Let I and S be sets.

Let x: I → S be a mapping.

Let x_i denote the image of an element i ∈ I of the domain I of x.

Let ⟨ x_i ⟩_i ∈ I denote the set of the images of all the element i ∈ I under x.


An element of the domain I of x is called an index.",Definition:Scientific Notation
145,Definition:Indexing Set,Index,"Let I and S be sets.

Let x: I → S be a mapping.

Let x_i denote the image of an element i ∈ I of the domain I of x.

Let ⟨ x_i ⟩_i ∈ I denote the set of the images of all the elements i ∈ I under x.


When a mapping is used in this context, the domain I of x is called the indexing set of the terms ⟨ x_i ⟩_i ∈ I.


=== Index ===
Let I and S be sets.

Let x: I → S be a mapping.

Let x_i denote the image of an element i ∈ I of the domain I of x.

Let ⟨ x_i ⟩_i ∈ I denote the set of the images of all the element i ∈ I under x.


An element of the domain I of x is called an index.

=== Indexed Set ===
Let I and S be sets.

Let x: I → S be a mapping.

Let x_i denote the image of an element i ∈ I of the domain I of x.

Let ⟨ x_i ⟩_i ∈ I denote the set of the images of all the elements i ∈ I under x.


The image of x, that is, x [ I ] or Img( x ), is called an indexed set.

That is, it is the set indexed by I.

=== Indexing Function ===
Let I and S be sets.

Let x: I → S be a mapping.

Let x_i denote the image of an element i ∈ I of the domain I of x.

Let ⟨ x_i ⟩_i ∈ I denote the set of the images of all the element i ∈ I under x.


When used in this context, the mapping x is referred to as an indexing function for S.


=== Notation ===
The family of elements x of S indexed by I is often seen with one of the following notations:

:⟨ x_i ⟩_i ∈ I

:( x_i )_i ∈ I

:{ x_i }_i ∈ I


There is little consistency in the literature, but ( x_i )_i ∈ I is perhaps most common.

The preferred notation on   is ⟨ x_i ⟩_i ∈ I.

The subscripted i ∈ I is often left out, if it is obvious in the particular context.


Note the use of x_i to denote the image of the index i under the indexing function x.

As x is actually a mapping, one would expect the conventional notation x (   )i.

However, this is generally not used, and x_i is used instead.


Category:Definitions/Indexed Families

=== Family ===
Let I and S be sets.

Let x: I → S be an indexing function for S.

Let x_i denote the image of an element i ∈ I of the domain I of x.

Let ⟨ x_i ⟩_i ∈ I denote the set of the images of all the elements i ∈ I under x.


The image Img( x ), consisting of the terms ⟨ x_i ⟩_i ∈ I, along with the indexing function x itself, is called a family of elements of S indexed by I.

=== Term ===
Let I and S be sets.

Let x: I → S be a mapping.

Let x_i denote the image of an element i ∈ I of the domain I of x.

Let ⟨ x_i ⟩_i ∈ I denote the set of the images of all the element i ∈ I under x.


The image of x at an index i is referred to as a term of the (indexed) family, and is denoted x_i.


=== Notation ===
The family of elements x of S indexed by I is often seen with one of the following notations:

:⟨ x_i ⟩_i ∈ I

:( x_i )_i ∈ I

:{ x_i }_i ∈ I


There is little consistency in the literature, but ( x_i )_i ∈ I is perhaps most common.

The preferred notation on   is ⟨ x_i ⟩_i ∈ I.

The subscripted i ∈ I is often left out, if it is obvious in the particular context.


Note the use of x_i to denote the image of the index i under the indexing function x.

As x is actually a mapping, one would expect the conventional notation x (   )i.

However, this is generally not used, and x_i is used instead.


Category:Definitions/Indexed Families

=== Family of Distinct Elements ===
Let I and S be sets.

Let x: I → S be an indexing function for S.

Let ⟨ x_i ⟩_i ∈ I denote the family of elements of S indexed by x.


Let x be an injection, that is:
:∀α, β∈ I: αβ x_α x_β

Then ⟨ x_i ⟩ _i ∈ I is called a family of distinct elements of S.

=== Family of Sets ===
Let 𝒮 be a set of sets.

Let I be an indexing set.

Let ⟨ S_i ⟩_i ∈ I be a family of elements of 𝒮 indexed by I.


Then ⟨ S_i ⟩_i ∈ I is referred to as an indexed family of sets.

=== Family of Subsets ===
Let S be a set.

Let I be an indexing set.

For each i ∈ I, let S_i be a corresponding subset of S.

Let ⟨ S_i ⟩_i ∈ I be a family of subsets of S indexed by I.


Then ⟨ S_i ⟩_i ∈ I is referred to as an indexed family of subsets (of S by I).",Definition:Scientific Notation
146,Definition:Term of Sequence/Index,Index,"Let ⟨ x_n ⟩ be a sequence.

Let x_k be the kth term of ⟨ x_n ⟩.

Then the integer k is known as the index of x_k.",Definition:Power (Algebra)/Exponent
147,Definition:Index of Subgroup,Index,"Let G be a group.

Let H be a subgroup of G.

The index of H (in G), denoted [ G :   ]H, is the cardinality of the left (or right) coset space G / H.


=== Finite Index ===
Let G be a group.

Let H be a subgroup of G.

Let [ G :   ]H denote the index of H in G, that is, the cardinality of the left (or right) coset space G / H.


If G / H is a finite set, then [ G :   ]H is finite, and H is of finite index in G.

=== Infinite Index ===
Let G be a group.

Let H be a subgroup of G.

Let [ G :   ]H denote the index of H in G, that is, the cardinality of the left (or right) coset space G / H.


If G / H is an infinite set, then [ G :   ]H is infinite, and H is of infinite index in G.",Definition:Power (Algebra)/Exponent
148,Definition:Matrix/Indices,Index,"Let 𝐀 be an m × n matrix.

Let a_i j be the element in row i and column j of 𝐀.


Then the subscripts i and j are referred to as the indices (singular: index) of a_i j.",Definition:Power (Algebra)/Exponent
